Group,Mo2 Name,Version,URL,Nexus Name,Category,Author,Author URL,Kofi,Paypal,Patreon,Nexus URL
1,skse64_2_00_20,d2021.10.8.0,https://skse.silverlock.org/,skse64_2_00_20,Bug Fixes and Utility,SKSE Team,https://skse.silverlock.org/,,,,https://skse.silverlock.org/
1,SSE Engine Fixes (Part 1),5.6.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/17230,SSE Engine Fixes (Part 1,Bug Fixes and Utility,aers,https://www.nexusmods.com/skyrimspecialedition/users/2025634,,https://www.nexusmods.com/Core/Libs/Common/Widgets/PayPalPopUp?user=2025634,,https://www.nexusmods.com/skyrimspecialedition/mods/17230
1,Bug Fixes SSE,3.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/33261,Bug Fixes SSE,Bug Fixes and Utility,meh321,https://www.nexusmods.com/skyrimspecialedition/users/2964753,,,,https://www.nexusmods.com/skyrimspecialedition/mods/33261
1,Scrambled Bugs,14.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/43532,Scrambled Bugs,Bug Fixes and Utility,KernalsEgg,https://www.nexusmods.com/skyrimspecialedition/users/6040826,,,,https://www.nexusmods.com/skyrimspecialedition/mods/43532
1,Scrambled Bugs - Scrambled Eggchantments,1.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/43532,Scrambled Bugs,Bug Fixes and Utility,KernalsEgg,https://www.nexusmods.com/skyrimspecialedition/users/6040826,,,,https://www.nexusmods.com/skyrimspecialedition/mods/43532
1,FileAccess Interface for Skyrim SE Scripts - FISSES,1.3.7.0,https://www.nexusmods.com/skyrimspecialedition/mods/13956,FileAccess Interface for Skyrim SE Scripts - FISSES,Bug Fixes and Utility,TERENCEYAO,https://www.nexusmods.com/skyrimspecialedition/mods/13956,,,,https://www.nexusmods.com/skyrimspecialedition/mods/13956
1,PrivateProfileRedirector SE - Faster game start (INI file cacher),0.5.2.0,https://www.nexusmods.com/skyrimspecialedition/mods/18860,PrivateProfileRedirector SE - Faster game start (INI file cacher,Bug Fixes and Utility,Karandra,https://www.nexusmods.com/skyrimspecialedition/users/2734453,,,,https://www.nexusmods.com/skyrimspecialedition/mods/18860
1,ConsoleUtilSSE,1.2.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/24858,ConsoleUtilSSE,Bug Fixes and Utility,Fudgyduff,https://www.nexusmods.com/skyrimspecialedition/users/5687342,,,,https://www.nexusmods.com/skyrimspecialedition/mods/24858
1,.NET Script Framework,18.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/21294,.NET Script Framework,Bug Fixes and Utility,meh321,https://www.nexusmods.com/skyrimspecialedition/users/2964753,,,,https://www.nexusmods.com/skyrimspecialedition/mods/21294
1,Address Library for SKSE Plugins,2.0.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/32444,Address Library for SKSE Plugins,Bug Fixes and Utility,meh321,https://www.nexusmods.com/skyrimspecialedition/users/2964753,,,,https://www.nexusmods.com/skyrimspecialedition/mods/32444
1,JContainers SE,4.1.13.0,https://www.nexusmods.com/skyrimspecialedition/mods/16495,JContainers SE,Bug Fixes and Utility,ryobg,https://www.nexusmods.com/skyrimspecialedition/users/35506715,,,,https://www.nexusmods.com/skyrimspecialedition/mods/16495
1,PapyrusUtil SE - Modders Scripting Utility Functions,3.9.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/13048,PapyrusUtil SE - Modders Scripting Utility Functions,Bug Fixes and Utility,exiledviper,https://www.nexusmods.com/skyrimspecialedition/mods/13048,,,,https://www.nexusmods.com/skyrimspecialedition/mods/13048
1,powerofthree’s Papyrus Extender for SSE,4.5.1.0,https://www.nexusmods.com/skyrimspecialedition/mods/22854,powerofthree's Papyrus Extender for SSE,Bug Fixes and Utility,powerofthree,https://www.nexusmods.com/skyrimspecialedition/users/2148728,,,https://www.patreon.com/bePatron?u=8408266,https://www.nexusmods.com/skyrimspecialedition/mods/22854
1,powerofthree’s Tweaks,1.3.3.0,https://www.nexusmods.com/skyrimspecialedition/mods/51073,powerofthree's Tweaks,Bug Fixes and Utility,powerofthree,https://www.nexusmods.com/skyrimspecialedition/users/2148728,,,https://www.patreon.com/bePatron?u=8408266,https://www.nexusmods.com/skyrimspecialedition/mods/51073
1,powerofthree’s Tweaks INI File,1.3.0.0,https://www.nexusmods.com/skyrimspecialedition/mods/51073,powerofthree's Tweaks,Bug Fixes and Utility,powerofthree,https://www.nexusmods.com/skyrimspecialedition/users/2148728,,,https://www.patreon.com/bePatron?u=8408266,https://www.nexusmods.com/skyrimspecialedition/mods/51073
1,Unofficial Skyrim Special Edition Patch,4.2.5.0b,,,,,,,,,
