Produced Item Name,Qty Made,Items Required,Perks Needed,Proximity (When None),Additional Requirements
Ink,1,2 Inkwell,,Cook pot,Forage Skill Greater or Equal to 1
White Bonesap,1,1 Bonesap 1 Powdered Albino Spider Pod,,Cook pot,Forage Skill Greater or Equal to 3
Red Bonesap,1,1 Bonesap 1 Powdered Shellbug Chitin,,Cook pot,Forage Skill Greater or Equal to 5
Shellbug Resin,1,1 Dwarven Oil 1 Powdered Shellbug Chitin,,Cook pot,Forage Skill Greater or Equal to 3
Wolfsap,1,1 Wolf Claws 1 Bonesap 2 Powdered Canine Teeth,,Cook pot,Forage Skill Greater or Equal to 7
Wyrmsap,1,1 Bonesap 1 Powdered Dragon Scales 1 Dragon Bonemeal,,Cook pot,Forage Skill Greater or Equal to 8
Salt,1,1 Waterskin (Salt Water),,Cook pot,
Salt,1,1 Glass Bottle (Salt Water),,Cook pot,
Snowberry Extract,1,20 Snowberries,Alchemical Lore 1,Cook pot,Forage Skill Greater or Equal to 1
Werebear's Blood Poison (Remarkable),2,1 Bear Eye 1 Werebear's Blood,,Cook pot,Forage Skill Greater or Equal to 5
Werebear's Blood Poison (Great),2,1 Bear Eye 1 Werebear's Blood,,Cook pot,Forage Skill Equal to 4
Werebear's Blood Poison (Good),2,1 Bear Eye 1 Werebear's Blood,,Cook pot,Forage Skill Equal to 3
Werebear's Blood Poison (Decent),2,1 Bear Eye 1 Werebear's Blood,,Cook pot,Forage Skill Equal to 2
Werebear's Blood Poison (Crude),2,1 Bear Eye 1 Werebear's Blood,,Cook pot,Forage Skill Equal to 1
Werebear's Blood Potion (Remarkable),2,1 Luna Moth Wing 1 Werebear's Blood,,Cook pot,Forage Skill Greater or Equal to 5
Werebear's Blood Potion (Great),2,1 Luna Moth Wing 1 Werebear's Blood,,Cook pot,Forage Skill Equal to 4
Werebear's Blood Potion (Good),2,1 Luna Moth Wing 1 Werebear's Blood,,Cook pot,Forage Skill Equal to 3
Werebear's Blood Potion (Decent),2,1 Luna Moth Wing 1 Werebear's Blood,,Cook pot,Forage Skill Equal to 2
Strong Acid,1,3 Chaurus Eggs,,Cook pot,Forage Skill Greater or Equal to 2
Strong Acid,1,1 Spider Venom (Great),,Cook pot,Forage Skill Greater or Equal to 2
Strong Acid,1,1 Chaurus Venom (Good),,Cook pot,Forage Skill Greater or Equal to 2
Mild Acid,1,5 Spider Egg,,Cook pot,
Mild Acid,1,2 Spider Venom (Crude),,Cook pot,
Mild Acid,1,1 Chaurus Venom (Crude),,Cook pot,
Potion of Boneblood,1,10 Bone Meal 1 Blood of the Hunt (Strange Brew),,Cook pot,Forage Skill Greater or Equal to 1
