Produced Item Name,Crafting WorkBench,Qty Made,Perks Needed,Proximity (When None),Items Required,Additional Requirements
Acolyte Hood,Forge,1,,Forge,1 Silk Thread 3 Silk Cloth - Brown,
Aegisbane,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Iron,
Aetherium Crown,Aetherium Forge,1,,Aetherium Forge,2 Ingot: Gold 2 Gem: Sapphire (Flawless) 2 Ingot: Dwarven 2 Aetherium Dynamo Core,
Aetherium Crown,Aetherium Forge,1,,Aetherium Forge,2 Ingot: Gold 2 Gem: Sapphire (Flawless) 2 Ingot: Dwarven 1 Aetherium Crest,
Aetherium Shield,Armor Table,1,Dwarven Blacksmithing,Armor Table,1 Ingot: Dwarven,
Aetherium Shield,Aetherium Forge,1,,Aetherium Forge,2 Ingot: Malachite 4 Ingot: Dwarven 2 Aetherium Dynamo Core,
Aetherium Shield,Aetherium Forge,1,,Aetherium Forge,2 Ingot: Malachite 4 Ingot: Dwarven 1 Aetherium Crest,
Aetherium Staff,Aetherium Forge,1,,Aetherium Forge,2 Ingot: Ebony 1 Ingot: Gold 2 Ingot: Dwarven 1 Aetherium Crest,
Aetherium Staff,Aetherium Forge,1,,Aetherium Forge,2 Ingot: Ebony 1 Ingot: Gold 2 Ingot: Dwarven 2 Aetherium Dynamo Core,
Ahzidal's Boots,Armor Table,1,Advanced Blacksmithing,Armor Table,1 Ingot: Steel,
Ahzidal's Cuirass,Armor Table,1,Advanced Blacksmithing,Armor Table,1 Ingot: Steel,
Ahzidal's Gauntlets,Armor Table,1,Advanced Blacksmithing,Armor Table,1 Ingot: Steel,
Ahzidal's Helmet,Armor Table,1,Advanced Blacksmithing,Armor Table,1 Ingot: Steel,
Akaviri Katana,Player Crafting,1,Advanced Blacksmithing,Player Crafting,2 Ingot: Steel 1 Ingot: Corundum 2 Leather Strips,Main Quest - Alduins Wall Complete
Akaviri Katana,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Corundum,
Alchemist's Crown,Forge,1,,Forge,1 Infused Ingot 3 Rubyluce,
Alchemist's Journal,Player Crafting,1,Craftsmanship,Player Crafting,5 Paper Roll 1 Leather 1 Linen Thread,
Alchemists Pouch,Player Crafting,1,,Player Crafting,2 Leather,
Ale,Brewing Barrel,2,,Brewing Barrel,4 Wheat,
Ale Barrel,Forge,1,Craftsmanship,Forge,2 Ingot: Iron 5 Wood,
Ale Braised Sabre Cat,Cook pot,5,,Cook pot,5 Ale 5 Raw Sabre Cat Meat,
Ale Braised Sabre Cat,Cook pot,1,,Cook pot,1 Ale 1 Raw Sabre Cat Meat,
Alik'ri Fishing Rod,Forge,1,Advanced Blacksmithing,Forge,1 Ingot: Quicksilver 1 Wood,Fishing - Unlocked Alikri Rod
Amethyst,Forge,1,Advanced Blacksmithing,Forge,1 Gem: Amethyst (Rough),
Amulet of Akatosh Replica,Forge,1,Advanced Blacksmithing,Forge,1 Ingot: Corundum 1 Leather Strips,
Amulet of Arkay Replica,Forge,1,Advanced Blacksmithing,Forge,1 Ingot: Corundum 1 Gem: Ruby (Rough),
Amulet of Dibella Replica,Forge,1,Advanced Blacksmithing,Forge,1 Ingot: Corundum 1 Leather Strips 1 Pearl,
Amulet of Hircine,Player Crafting,1,,Player Crafting,1 Leather Strips 1 Fragment: Bone 3 Engraved Bone of Hircine,Forage Skill Greater or Equal to 4
Amulet of Julianos,Player Crafting,1,,Player Crafting,1 Leather Strips 3 Fragment: Bone 1 Engraved Bone of Julianos,Forage Skill Greater or Equal to 4
Amulet of Julianos Replica,Forge,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Ingot: Quicksilver,
Amulet of Kynareth,Player Crafting,1,,Player Crafting,1 Leather Strips 3 Fragment: Bone 1 Engraved Bone of Kynareth,Forage Skill Greater or Equal to 4
Amulet of Mara Replica,Forge,1,Advanced Blacksmithing,Forge,1 Ingot: Calcinium,
Amulet of Stendarr Replica,Forge,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Ingot: Corundum 1 Leather Strips,
Amulet of Talos Replica,Forge,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Leather Strips 1 Ingot: Galatite,
Amulet of the Elder Council Replica,Forge,1,Advanced Blacksmithing,Forge,1 Ingot: Corundum 1 Ingot: Quicksilver 1 Gem: Onyx,
Amulet of the Kynareth Replica,Forge,1,Advanced Blacksmithing,Forge,1 Ingot: Quicksilver 1 Leather Strips 1 Small Pearl,
Amulet of Zenithar Replica,Forge,1,Craftsmanship,Forge,1 Ingot: Steel 1 Leather Strips,
Ancient Dawnguard Shield,Armor Table,1,Craftsmanship,Armor Table,1 Ingot: Steel,
Ancient Falmer Boots,Armor Table,1,Elven Blacksmithing,Armor Table,1 Ingot: Moonstone,
Ancient Falmer Boots,Forge,1,Advanced Light Smithing,Forge,3 Ingot: Moonstone 1 Ingot: Quicksilver 2 Leather Strips 1 Leather,DawnGuard - Touching the Sky Complete
Ancient Falmer Crown,Armor Table,1,Elven Blacksmithing,Armor Table,1 Ingot: Moonstone,
Ancient Falmer Crown,Forge,1,Advanced Light Smithing,Forge,3 Ingot: Moonstone 1 Ingot: Quicksilver 1 Leather Strips 1 Leather,DawnGuard - Touching the Sky Complete
Ancient Falmer Cuirass,Armor Table,1,Elven Blacksmithing,Armor Table,1 Ingot: Moonstone,
Ancient Falmer Cuirass,Forge,1,Advanced Light Smithing,Forge,5 Ingot: Moonstone 2 Ingot: Quicksilver 4 Leather Strips 2 Leather,DawnGuard - Touching the Sky Complete
Ancient Falmer Gauntlets,Forge,1,Advanced Light Smithing,Forge,2 Ingot: Moonstone 1 Ingot: Quicksilver 2 Leather Strips 1 Leather,DawnGuard - Touching the Sky Complete
Ancient Falmer Gauntlets,Armor Table,1,Elven Blacksmithing,Armor Table,1 Ingot: Moonstone,
