Produced Item Name,Qty Made,Perks Needed,Proximity (When None),Items Required,Additional Requirements
Arrow: Ancient Nordic,15,Craftsmanship,Forge,1 Ingot: Iron 1 Wood,
Arrow: Ancient Nordic Hero,15,Advanced Blacksmithing,Forge,1 Ingot: Steel 1 Ingot: Corundum 1 Wood,
Arrow: Bone (Crude),5,Craftsmanship,Player Crafting,3 Fragment: Bone 1 Animal Bone (Large),Forage Skill Less or Equal to 2
Arrow: Bone (Crude),5,Craftsmanship,Player Crafting,1 Wood 3 Fragment: Bone,Forage Skill Less or Equal to 2
Arrow: Bone (Decent),5,Craftsmanship,Player Crafting,1 Wood 3 Fragment: Bone,"Forage Skill Greater or Equal to 3,Forage Skill Less or Equal to 4"
Arrow: Bone (Decent),5,Craftsmanship,Player Crafting,3 Fragment: Bone 1 Animal Bone (Large),"Forage Skill Greater or Equal to 3,Forage Skill Less or Equal to 4"
Arrow: Bone (Good),5,Craftsmanship,Player Crafting,1 Wood 3 Fragment: Bone,"Forage Skill Greater or Equal to 5,Forage Skill Less or Equal to 6"
Arrow: Bone (Good),5,Craftsmanship,Player Crafting,3 Fragment: Bone 1 Animal Bone (Large),"Forage Skill Greater or Equal to 5,Forage Skill Less or Equal to 6"
Arrow: Bone (Great),5,Craftsmanship,Player Crafting,3 Fragment: Bone 1 Animal Bone (Large),"Forage Skill Greater or Equal to 7,Forage Skill Less or Equal to 8"
Arrow: Bone (Great),5,Craftsmanship,Player Crafting,1 Wood 3 Fragment: Bone,"Forage Skill Greater or Equal to 7,Forage Skill Less or Equal to 8"
Arrow: Bone (Superlative),5,Craftsmanship,Player Crafting,1 Wood 3 Fragment: Bone,Forage Skill Greater or Equal to 9
Arrow: Bone (Superlative),5,Craftsmanship,Player Crafting,3 Fragment: Bone 1 Animal Bone (Large),Forage Skill Greater or Equal to 9
Arrow: Bonemold (Crude),10,Morrowind Smithing 1,Player Crafting,1 Wood 10 Fragment: Bone,"Forage Skill Greater or Equal to 1,Forage Skill Less than 4"
Arrow: Bonemold (Good),10,Morrowind Smithing 1,Player Crafting,2 Bone Meal 1 Wood 10 Fragment: Bone,"Forage Skill Greater or Equal to 4,Forage Skill Less than 8"
Arrow: Bonemold (Superlative),10,Morrowind Smithing 1,Player Crafting,2 Bone Meal 1 Wood 10 Fragment: Bone 1 Bonesap,Forage Skill Greater or Equal to 8
Arrow: Daedric,150,Daedric Smithing,Forge,150 Arrow: Ebony 1 Soul Gem: Black (Empty) 1 Daedra Heart,
Arrow: Daedric Fire,15,"Arcane Craftsmanship,Daedric Smithing",Forge,15 Arrow: Daedric 1 Fire Salts,
Arrow: Daedric Ice,15,"Arcane Craftsmanship,Daedric Smithing",Forge,15 Arrow: Daedric 1 Frost Salts,
Arrow: Daedric Shock,15,"Arcane Craftsmanship,Daedric Smithing",Forge,15 Arrow: Daedric 1 Void Salts,
Arrow: Dragonbone (Crude),10,Draconic Blacksmithing,Player Crafting,1 Wood 10 Fragment: Dragonbone,"Forage Skill Equal to 8,Forage Skill Less than 9"
Arrow: Dragonbone (Good),10,Draconic Blacksmithing,Player Crafting,1 Dragon Bone 1 Wood 10 Fragment: Dragonbone,"Forage Skill Equal to 9,Forage Skill Less than 10"
Arrow: Dragonbone (Great),10,Draconic Blacksmithing,Player Crafting,1 Dragon Bone 1 Wood 10 Fragment: Dragonbone 1 Wyrmsap,Forage Skill Greater or Equal to 10
Arrow: Dragonbone (Superlative),15,Draconic Blacksmithing,Forge,1 Dragon Bone 1 Wood,
Arrow: Dragonbone Fire,15,"Arcane Craftsmanship,Draconic Blacksmithing",Forge,1 Fire Salts 15 Arrow: Dragonbone (Superlative),
Arrow: Dragonbone Ice,15,"Arcane Craftsmanship,Draconic Blacksmithing",Forge,1 Frost Salts 15 Arrow: Dragonbone (Superlative),
Arrow: Dragonbone Shock,15,"Arcane Craftsmanship,Draconic Blacksmithing",Forge,1 Void Salts 15 Arrow: Dragonbone (Superlative),
Arrow: Dwarven,15,Dwarven Blacksmithing,Forge,1 Wood 1 Ingot: Dwarven,
Arrow: Dwarven Fire,15,"Arcane Craftsmanship,Dwarven Blacksmithing",Forge,15 Arrow: Dwarven 1 Fire Salts,
