Produced Item Name,Perks Needed,Items Required
Aetherium Shield,Dwarven Blacksmithing,1 Ingot: Dwarven
Ahzidal's Boots,Advanced Blacksmithing,1 Ingot: Steel
Ahzidal's Cuirass,Advanced Blacksmithing,1 Ingot: Steel
Ahzidal's Gauntlets,Advanced Blacksmithing,1 Ingot: Steel
Ahzidal's Helmet,Advanced Blacksmithing,1 Ingot: Steel
Ancient Dawnguard Shield,Craftsmanship,1 Ingot: Steel
Ancient Falmer Boots,Elven Blacksmithing,1 Ingot: Moonstone
Ancient Falmer Crown,Elven Blacksmithing,1 Ingot: Moonstone
Ancient Falmer Cuirass,Elven Blacksmithing,1 Ingot: Moonstone
Ancient Falmer Gauntlets,Elven Blacksmithing,1 Ingot: Moonstone
Ancient Helmet of the Unburned,Craftsmanship,1 Ingot: Steel
Ancient Helmet of the Unfrozen,Ebony Blacksmithing,1 Stalhrim
Ancient Nordic Boots,Craftsmanship,1 Ingot: Iron
Ancient Nordic Cuirass,Craftsmanship,1 Ingot: Iron
Ancient Nordic Gauntlets,Craftsmanship,1 Ingot: Iron
Ancient Nordic Helmet,Craftsmanship,1 Ingot: Iron
Ancient Nordic Helmet - Antlers,Craftsmanship,1 Ingot: Iron
Ancient Nordic Hero Boots,Advanced Blacksmithing,1 Ingot: Corundum
Ancient Nordic Hero Cuirass,Advanced Blacksmithing,1 Ingot: Corundum
Ancient Nordic Hero Gauntlets,Advanced Blacksmithing,1 Ingot: Corundum
Ancient Nordic Hero Helm,Advanced Blacksmithing,1 Ingot: Corundum
Armor of the Midnight Hunt,Advanced Light Smithing,1 Pelt: Cave Bear 1 Ingot: Steel
Armor of the Midnight Hunt,Advanced Light Smithing,1 Ingot: Steel 1 Fur Plate
Armor of the Northern Hunt,Advanced Light Smithing,1 Pelt: Snow Bear 1 Ingot: Steel
Armor of the Northern Hunt,Advanced Light Smithing,1 Ingot: Steel 1 Fur Plate
Armor of the Old Gods,Craftsmanship,1 Leather
Auriel's Shield,Legendary Blacksmithing,1 Ingot: Moonstone
Auriel's Shield Replica,Elven Blacksmithing,1 Ingot: Moonstone
Blackguard's Boots,Advanced Light Smithing,1 Leather
Blackguard's Cuirass,Advanced Light Smithing,1 Leather
Blackguard's Gloves,Advanced Light Smithing,1 Leather
Blackguard's Hood,Advanced Light Smithing,1 Leather
Blades Boots,Craftsmanship,1 Ingot: Corundum
Blades Cuirass,Craftsmanship,1 Ingot: Corundum
Blades Gauntlets,Craftsmanship,1 Ingot: Corundum
Blades Helmet,Craftsmanship,1 Ingot: Corundum
Blades Shield,Craftsmanship,1 Ingot: Corundum
Bonemold Boots,Morrowind Smithing 1,2 Bone Meal
Bonemold Boots (Crude),Morrowind Smithing 1,2 Bone Meal
Bonemold Boots (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Boots (Superlative),Morrowind Smithing 1,2 Bone Meal
Bonemold Cuirass,Morrowind Smithing 1,2 Bone Meal
Bonemold Cuirass (Crude),Morrowind Smithing 1,2 Bone Meal
Bonemold Cuirass (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Cuirass (Superlative),Morrowind Smithing 1,2 Bone Meal
Bonemold Gauntlets,Morrowind Smithing 1,2 Bone Meal
Bonemold Gauntlets (Crude),Morrowind Smithing 1,2 Bone Meal
Bonemold Gauntlets (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Gauntlets (Superlative),Morrowind Smithing 1,2 Bone Meal
Bonemold Guard Cuirass (Crude),Morrowind Smithing 1,2 Bone Meal
Bonemold Guard Cuirass (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Guard Cuirass (Superlative),Morrowind Smithing 1,2 Bone Meal
Bonemold Helmet,Morrowind Smithing 1,2 Bone Meal
Bonemold Helmet (Crude),Morrowind Smithing 1,2 Bone Meal
Bonemold Helmet (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Helmet (Superlative),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Boots,Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Boots (Crude),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Boots (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Boots (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Boots (Superlative),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Cuirass,Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Cuirass (Crude),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Cuirass (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Cuirass (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Cuirass (Superlative),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Gauntlets,Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Gauntlets (Crude),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Gauntlets (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Gauntlets (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Gauntlets (Superlative),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Helmet,Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Helmet (Crude),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Helmet (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Helmet (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Helmet (Superlative),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Pauldroned Cuirass,Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Shield,Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Shield (Crude),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Shield (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Shield (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Improved Shield (Superlative),Morrowind Smithing 1,2 Bone Meal
Bonemold Pauldron Cuirass (Crude),Morrowind Smithing 1,2 Bone Meal
Bonemold Pauldron Cuirass (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Pauldron Cuirass (Superlative),Morrowind Smithing 1,2 Bone Meal
Bonemold Pauldroned Cuirass,Morrowind Smithing 1,2 Bone Meal
Bonemold Pauldroned Cuirass - Guard's,Morrowind Smithing 1,2 Bone Meal
Bonemold Shield,Morrowind Smithing 1,2 Bone Meal
Bonemold Shield (Crude),Morrowind Smithing 1,2 Bone Meal
Bonemold Shield (Good),Morrowind Smithing 1,2 Bone Meal
Bonemold Shield (Superlative),Morrowind Smithing 1,2 Bone Meal
Boots of the Old Gods,Craftsmanship,1 Leather
Chitin Heavy Boots,Morrowind Smithing 2,1 Chitin Plate
Chitin Heavy Boots (Crude),Morrowind Smithing 2,1 Chitin Plate
Chitin Heavy Boots (Good),Morrowind Smithing 2,1 Chitin Plate
Chitin Heavy Boots (Superlative),Morrowind Smithing 2,1 Chitin Plate
Chitin Heavy Cuirass,Morrowind Smithing 2,1 Chitin Plate
Chitin Heavy Cuirass (Crude),Morrowind Smithing 2,1 Chitin Plate
Chitin Heavy Cuirass (Good),Morrowind Smithing 2,1 Chitin Plate
Chitin Heavy Cuirass (Superlative),Morrowind Smithing 2,1 Chitin Plate
Chitin Heavy Gauntlets,Morrowind Smithing 2,1 Chitin Plate
Chitin Heavy Gauntlets (Crude),Morrowind Smithing 2,1 Chitin Plate
Chitin Heavy Gauntlets (Good),Morrowind Smithing 2,1 Chitin Plate
Chitin Heavy Gauntlets (Superlative),Morrowind Smithing 2,1 Chitin Plate
Chitin Heavy Helmet,Morrowind Smithing 2,1 Chitin Plate
Chitin Heavy Helmet (Crude),Morrowind Smithing 2,1 Chitin Plate
Chitin Heavy Helmet (Good),Morrowind Smithing 2,1 Chitin Plate
Chitin Heavy Helmet (Superlative),Morrowind Smithing 2,1 Chitin Plate
Chitin Light Boots,Morrowind Smithing 2,1 Chitin Plate
Chitin Light Boots (Crude),Morrowind Smithing 2,1 Chitin Plate
Chitin Light Boots (Good),Morrowind Smithing 2,1 Chitin Plate
Chitin Light Boots (Superlative),Morrowind Smithing 2,1 Chitin Plate
Chitin Light Bracers (Crude),Morrowind Smithing 2,1 Chitin Plate
Chitin Light Bracers (Good),Morrowind Smithing 2,1 Chitin Plate
