Produced Item Name,Qty Made,Perks Needed,Proximity (When None),Items Required,Additional Requirements
Amulet of Akatosh Replica,1,Advanced Blacksmithing,Forge,1 Ingot: Corundum 1 Leather Strips,
Amulet of Arkay Replica,1,Advanced Blacksmithing,Forge,1 Ingot: Corundum 1 Gem: Ruby (Rough),
Amulet of Dibella Replica,1,Advanced Blacksmithing,Forge,1 Ingot: Corundum 1 Leather Strips 1 Pearl,
Amulet of Hircine,1,,Player Crafting,1 Leather Strips 1 Fragment: Bone 3 Engraved Bone of Hircine,Forage Skill Greater or Equal to 4
Amulet of Julianos,1,,Player Crafting,1 Leather Strips 3 Fragment: Bone 1 Engraved Bone of Julianos,Forage Skill Greater or Equal to 4
Amulet of Julianos Replica,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Ingot: Quicksilver,
Amulet of Kynareth,1,,Player Crafting,1 Leather Strips 3 Fragment: Bone 1 Engraved Bone of Kynareth,Forage Skill Greater or Equal to 4
Amulet of Mara Replica,1,Advanced Blacksmithing,Forge,1 Ingot: Calcinium,
Amulet of Stendarr Replica,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Ingot: Corundum 1 Leather Strips,
Amulet of Talos Replica,1,Advanced Blacksmithing,Forge,1 Gold Ring 1 Leather Strips 1 Ingot: Galatite,
Amulet of the Elder Council Replica,1,Advanced Blacksmithing,Forge,1 Ingot: Corundum 1 Ingot: Quicksilver 1 Gem: Onyx,
Amulet of the Kynareth Replica,1,Advanced Blacksmithing,Forge,1 Ingot: Quicksilver 1 Leather Strips 1 Small Pearl,
Amulet of Zenithar Replica,1,Craftsmanship,Forge,1 Ingot: Steel 1 Leather Strips,
Ancient Nordic Amulet,1,Craftsmanship,Forge,1 Leather Strips 1 Animal Bone (Small),
Ancient Nordic Necklace,1,Craftsmanship,Forge,1 Leather Strips 1 Animal Bone (Small),
Bone Amulet of the Beaver Moon,1,,Player Crafting,1 Hide Lace 3 Animal Bone (Small),Forage Skill Greater or Equal to 1
