Produced Item Name,Qty Made,Perks Needed,Proximity (When None),Items Required,Additional Requirements
Enchanters Infusion,1,Enchantment Mastery,,1 Soul Gem: Grand (Filled) 2 Bone Meal 1 Fire Salts 1 Glass Bottle (Water),
Enchanters Infusion,1,Enchantment Mastery,,1 Soul Gem: Grand (Filled) 2 Bone Meal 1 Fire Salts 1 Glass Bottle (Water),
Enchanters Infusion,1,Enchantment Mastery,,1 Soul Gem: Grand (Filled) 2 Bone Meal 1 Fire Salts 1 Glass Bottle (Water),
Enchanters Infusion,1,Enchantment Mastery,,1 Soul Gem: Grand (Filled) 2 Bone Meal 1 Fire Salts 1 Glass Bottle (Water),
Enchanters Infusion,1,Enchantment Mastery,,1 Soul Gem: Grand (Filled) 2 Bone Meal 1 Fire Salts 1 Glass Bottle (Water),
Dye - Grey,5,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Giant Lichen,
Dye - Green,1,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Hanging Moss,
Dye - Black,5,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Nightshade,
Dye - Bleach,2,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Salt,
Dye - Purple,2,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Purple Mountain Flower,
Dye - Red,2,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Red Mountain Flower,
Dye - Blue,2,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Blue Mountain Flower,
Dye - Blue,2,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Dye - Indigo 1 Dye - Bleach,
Dye - Tan,2,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Dye - Brown 1 Dye - Bleach,
Dye - Grey,2,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Dye - Black 1 Dye - Bleach,
Dye - Brown,2,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Dye - Black 1 Dye - Tan,
Dye - Indigo,2,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Dye - Black 1 Dye - Blue,
Dye - Green,2,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Dye - Blue 1 Dye - Yellow,
Dye - Purple,2,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Dye - Blue 1 Dye - Red,
Dye - Orange,2,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Dye - Red 1 Dye - Yellow,
Dye - Yellow,5,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Dragon's Tongue,
Dye - Orange,1,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Creep Cluster,
Dye - Tan,1,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Grass Pod,
Dye - Brown,5,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Canis Root,
Dye - Indigo,4,"Craftsmanship,Alchemical Lore 1",Cook pot,1 Deathbell,
Flammable Oil,1,,Cook pot,2 Animal Fat,
Ornate Chest,1,Craftsmanship,Forge,2 Ingot: Iron 5 Wood,
Small Chest,1,Craftsmanship,Forge,1 Ingot: Iron 4 Wood,
Ale Barrel,1,Craftsmanship,Forge,2 Ingot: Iron 5 Wood,
Strong Box,1,Craftsmanship,Forge,3 Ingot: Iron,
Noble Chest,1,Craftsmanship,Forge,2 Ingot: Iron 6 Wood,
Iron Cooking Pot,1,Craftsmanship,Forge,1 Iron Large Pot,
Iron Cooking Pot,1,Craftsmanship,Forge,1 Iron Pot,
Iron Cooking Pot,1,Craftsmanship,Forge,2 Ingot: Iron,
Enchanted Ring Armor of Drain Protection,1,Arcane Experimentation,Forge,1 Soul Gem: Grand (Filled) 1 Silver Ring,
