Produced Item Name,Qty Made,Perks Needed,Proximity (When None),Items Required
Building Glass,3,Glass Blacksmithing,Smelter,4 Salt 1 Ingot: Malachite
Charcoal,2,,Smelter,1 Wooden Fishing Rod
Glass Bottle (Empty),1,Craftsmanship,Smelter,5 Building Glass
Ingot: Steel,5,Craftsmanship,Smelter,100 Fragment: Steel
Ingot: Steel,10,Craftsmanship,Smelter,200 Fragment: Steel
Ingot: Silver,5,Advanced Blacksmithing,Smelter,100 Fragment: Silver
Ingot: Silver,10,Advanced Blacksmithing,Smelter,200 Fragment: Silver
Ingot: Quicksilver,5,Advanced Blacksmithing,Smelter,100 Fragment: Quicksilver
Ingot: Quicksilver,10,Advanced Blacksmithing,Smelter,200 Fragment: Quicksilver
Ingot: Orichalcum,5,Orcish Blacksmithing,Smelter,100 Fragment: Orichalcum
Ingot: Orichalcum,10,Orcish Blacksmithing,Smelter,200 Fragment: Orichalcum
Ingot: Moonstone,5,Elven Blacksmithing,Smelter,100 Fragment: Moonstone
Ingot: Moonstone,10,Elven Blacksmithing,Smelter,200 Fragment: Moonstone
Ingot: Malachite,5,Glass Blacksmithing,Smelter,100 Fragment: Malachite
Ingot: Malachite,10,Glass Blacksmithing,Smelter,200 Fragment: Malachite
Ingot: Iron,5,Craftsmanship,Smelter,100 Fragment: Iron
Ingot: Iron,10,Craftsmanship,Smelter,200 Fragment: Iron
Ingot: Gold,5,Advanced Blacksmithing,Smelter,100 Fragment: Gold
Ingot: Gold,10,Advanced Blacksmithing,Smelter,200 Fragment: Gold
Ingot: Galatite,5,Craftsmanship,Smelter,100 Fragment: Galatite
Ingot: Galatite,10,Craftsmanship,Smelter,200 Fragment: Galatite
Ingot: Ebony,5,Ebony Blacksmithing,Smelter,100 Fragment: Ebony
Ingot: Ebony,10,Ebony Blacksmithing,Smelter,200 Fragment: Ebony
Ingot: Dwarven,5,Dwarven Blacksmithing,Smelter,100 Fragment: Dwarven
Ingot: Dwarven,10,Dwarven Blacksmithing,Smelter,200 Fragment: Dwarven
Ingot: Corundum,5,Craftsmanship,Smelter,100 Fragment: Corundum
Ingot: Corundum,10,Craftsmanship,Smelter,200 Fragment: Corundum
Ingot: Calcinium,5,Elven Blacksmithing,Smelter,100 Fragment: Calcinium
Ingot: Calcinium,10,Elven Blacksmithing,Smelter,200 Fragment: Calcinium
Ingot: Galatite,1,Craftsmanship,Smelter,20 Fragment: Galatite
Ingot: Calcinium,1,Elven Blacksmithing,Smelter,20 Fragment: Calcinium
Ingot: Steel,1,Craftsmanship,Smelter,20 Fragment: Steel
Building Glass,1,Craftsmanship,Smelter,20 Fragment: Building Glass
Ingot: Silver,1,Advanced Blacksmithing,Smelter,20 Fragment: Silver
Ingot: Quicksilver,1,Advanced Blacksmithing,Smelter,20 Fragment: Quicksilver
Ingot: Orichalcum,1,Orcish Blacksmithing,Smelter,20 Fragment: Orichalcum
Ingot: Moonstone,1,Elven Blacksmithing,Smelter,20 Fragment: Moonstone
Ingot: Malachite,1,Glass Blacksmithing,Smelter,20 Fragment: Malachite
Ingot: Iron,1,Craftsmanship,Smelter,20 Fragment: Iron
Ingot: Gold,1,Advanced Blacksmithing,Smelter,20 Fragment: Gold
Ingot: Ebony,1,Ebony Blacksmithing,Smelter,20 Fragment: Ebony
Ingot: Corundum,1,Craftsmanship,Smelter,20 Fragment: Corundum
Charcoal,3,,Smelter,1 Iron Pickaxe
Kindling,5,,Smelter,1 Iron Woodcutter's Axe
Charcoal,1,,Smelter,1 Wooden Torch (Bright)
Charcoal,2,,Smelter,1 Wooden Lute
Charcoal,1,,Smelter,1 Wooden Flute
Ingot: Dwarven,1,Dwarven Blacksmithing,Smelter,1 Any Dwarven scrap metal
