Produced Item Name,Perks Needed,Items Required,Additional Requirements
Falmer Waraxe (Superlative),Craftsmanship,1 Chaurus Chitin,
Falmer Waraxe (Good),Craftsmanship,1 Chaurus Chitin,
Falmer Waraxe (Crude),Craftsmanship,1 Chaurus Chitin,
Falmer Sword (Superlative),Craftsmanship,1 Chaurus Chitin,
Falmer Sword (Good),Craftsmanship,1 Chaurus Chitin,
Falmer Sword (Crude),Craftsmanship,1 Chaurus Chitin,
Falmer Light Bow (Superlative),Craftsmanship,1 Chaurus Chitin,
Falmer Light Bow (Good),Craftsmanship,1 Chaurus Chitin,
Falmer Light Bow (Crude),Craftsmanship,1 Chaurus Chitin,
Dragonbone Warhammer (Superlative),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Warhammer (Good),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Warhammer (Crude),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Waraxe (Superlative),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Waraxe (Good),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Waraxe (Crude),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Sword (Superlative),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Sword (Good),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Sword (Crude),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Mace (Superlative),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Mace (Good),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Mace (Crude),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Heavy Bow (Superlative),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Heavy Bow (Good),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Heavy Bow (Crude),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Greatsword (Superlative),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Greatsword (Good),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Greatsword (Crude),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Dagger (Superlative),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Dagger (Good),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Dagger (Crude),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Battleaxe (Superlative),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Battleaxe (Good),Draconic Blacksmithing,1 Dragon Bone,
Dragonbone Battleaxe (Crude),Draconic Blacksmithing,1 Dragon Bone,
Chitin Warhammer (Superlative),Morrowind Smithing 2,1 Chitin Plate,
Chitin Warhammer (Good),Morrowind Smithing 2,1 Chitin Plate,
Chitin Warhammer (Crude),Morrowind Smithing 2,1 Chitin Plate,
Chitin Waraxe (Superlative),Morrowind Smithing 2,1 Chitin Plate,
Chitin Waraxe (Good),Morrowind Smithing 2,1 Chitin Plate,
Chitin Waraxe (Crude),Morrowind Smithing 2,1 Chitin Plate,
Chitin Sword (Superlative),Morrowind Smithing 2,1 Chitin Plate,
Chitin Sword (Good),Morrowind Smithing 2,1 Chitin Plate,
Chitin Sword (Crude),Morrowind Smithing 2,1 Chitin Plate,
Chitin Mace (Superlative),Morrowind Smithing 2,1 Chitin Plate,
Chitin Mace (Good),Morrowind Smithing 2,1 Chitin Plate,
Chitin Mace (Crude),Morrowind Smithing 2,1 Chitin Plate,
Chitin Greatsword (Superlative),Morrowind Smithing 2,1 Chitin Plate,
Chitin Greatsword (Good),Morrowind Smithing 2,1 Chitin Plate,
Chitin Greatsword (Crude),Morrowind Smithing 2,1 Chitin Plate,
Chitin Dagger (Superlative),Morrowind Smithing 2,1 Chitin Plate,
Chitin Dagger (Good),Morrowind Smithing 2,1 Chitin Plate,
Chitin Dagger (Crude),Morrowind Smithing 2,1 Chitin Plate,
Chitin Bow (Superlative),Morrowind Smithing 2,1 Chitin Plate,
Chitin Bow (Good),Morrowind Smithing 2,1 Chitin Plate,
Chitin Bow (Crude),Morrowind Smithing 2,1 Chitin Plate,
Chitin Battleaxe (Superlative),Morrowind Smithing 2,1 Chitin Plate,
Chitin Battleaxe (Good),Morrowind Smithing 2,1 Chitin Plate,
Chitin Battleaxe (Crude),Morrowind Smithing 2,1 Chitin Plate,
Bonemold Warhammer (Superlative),Morrowind Smithing 1,2 Bone Meal,
Bonemold Warhammer (Good),Morrowind Smithing 1,2 Bone Meal,
