Produced Item Name,Qty Made,Perks Needed,Proximity (When None),Items Required,Additional Requirements
Satchel,1,,Player Crafting,4 Cotton Thread 2 Cotton Cloth - Purple,
Food Supplies,1,,Player Crafting,2 Linen Wrap,
Silk Cloth,1,,Cook pot,1 Salt 1 Silk Cloth - Yellow,
Silk Cloth,1,,Cook pot,1 Salt 1 Silk Cloth - Tan,
Silk Cloth,1,,Cook pot,1 Salt 1 Silk Cloth - Red,
Silk Cloth,1,,Cook pot,1 Salt 1 Silk Cloth - Purple,
Silk Cloth,1,,Cook pot,1 Salt 1 Silk Cloth - Orange,
Silk Cloth,1,,Cook pot,1 Salt 1 Silk Cloth - Indigo,
Silk Cloth,1,,Cook pot,1 Salt 1 Silk Cloth - Grey,
Silk Cloth,1,,Cook pot,1 Salt 1 Silk Cloth - Green,
Silk Cloth,1,,Cook pot,1 Salt 1 Silk Cloth - Brown,
Silk Cloth,1,,Cook pot,1 Salt 1 Silk Cloth - Blue,
Silk Cloth,1,,Cook pot,1 Salt 1 Silk Cloth - Black,
Linen Cloth,1,,Cook pot,1 Salt 1 Linen Cloth - Yellow,
Linen Cloth,1,,Cook pot,1 Salt 1 Linen Cloth - Tan,
Linen Cloth,1,,Cook pot,1 Salt 1 Linen Cloth - Red,
Linen Cloth,1,,Cook pot,1 Salt 1 Linen Cloth - Purple,
Linen Cloth,1,,Cook pot,1 Salt 1 Linen Cloth - Orange,
Linen Cloth,1,,Cook pot,1 Salt 1 Linen Cloth - Indigo,
Linen Cloth,1,,Cook pot,1 Salt 1 Linen Cloth - Grey,
Linen Cloth,1,,Cook pot,1 Salt 1 Linen Cloth - Green,
Linen Cloth,1,,Cook pot,1 Salt 1 Linen Cloth - Brown,
Linen Cloth,1,,Cook pot,1 Salt 1 Linen Cloth - Blue,
Linen Cloth,1,,Cook pot,1 Salt 1 Linen Cloth - Black,
Cotton Cloth,1,,Cook pot,1 Salt 1 Cotton Cloth - Yellow,
Cotton Cloth,1,,Cook pot,1 Salt 1 Cotton Cloth - Tan,
Cotton Cloth,1,,Cook pot,1 Salt 1 Cotton Cloth - Red,
Cotton Cloth,1,,Cook pot,1 Salt 1 Cotton Cloth - Purple,
