FormID	EDID	FULL	Effects	Magnitude	Duration	Effect Value	CalculatedValue
9F276293	AlchFoodExplainer_BakedGoods	Baked Goods	With a Chef's Toolkit, you can use this oven to make various baked goods.	0	1	0	0
9F276290	AlchDrinkExplainer_Alcohol	Alcohol	With a Brewer's Toolkit, you can use this brewing barrel to create various alcohols.	0	1	0	0
9F24CEC6	AlchFoodExplainer_CookedFood	Cooked Food	Many food items can be cooked to improve their bonuses. To cook, find a Cookpot or use the crafting menu near an open flame.				
9F00AA95	Alch_WerebearsBloodPoison05	Werebear's Blood Poison (Remarkable)	Creatures and people up to level 23 will attack anything nearby for 10 seconds.	23	1	7.5	236.027106873761
9F00AA94	Alch_WerebearsBloodPoison04	Werebear's Blood Poison (Great)	Creatures and people up to level 18 will attack anything nearby for 10 seconds.	18	1	7.5	180.244083942942
9F00AA93	Alch_WerebearsBloodPoison03	Werebear's Blood Poison (Good)	Creatures and people up to level 13 will attack anything nearby for 10 seconds.	13	1	7.5	126.008241526131
9F00AA92	Alch_WerebearsBloodPoison02	Werebear's Blood Poison (Decent)	Creatures and people up to level 8 will attack anything nearby for 10 seconds.	8	1	7.5	73.868664800695
9F00AA91	Alch_WerebearsBloodPoison01	Werebear's Blood Poison (Crude)	Creatures and people up to level 5 will attack anything nearby for 10 seconds.	5	1	7.5	44.0482103658007
9F00AA90	Alch_WerebearsBloodPotion04	Werebear's Blood Potion (Remarkable)	Grants invisibility for 50 seconds.	0	5	50	293.654735772005
9F00AA8F	Alch_WerebearsBloodPotion03	Werebear's Blood Potion (Great)	Grants invisibility for 40 seconds.	0	4	50	229.739670999407
9F00AA8E	Alch_WerebearsBloodPotion02	Werebear's Blood Potion (Good)	Grants invisibility for 30 seconds.	0	3	50	167.418476105086
9F00AA8D	Alch_WerebearsBloodPotion01	Werebear's Blood Potion (Decent)	Grants invisibility for 20 seconds.	0	2	50	107.177346253629
9F00AA8A	Alch_DragonsVenomOfDeath	Dragon's Venom of Death	Drains the target's Health by 5 points per second for 300 seconds.	5	30	1.5	371.357025079606
9F00AA89	Alch_DragonsVenomOfTerribleFrost	Dragon's Venom of Terrible Frost	The target is paralyzed for 5 seconds.	0	0.5	250	116.629123942101
9F00AA88	Alch_DragonsVenomOfDismay	Dragon's Venom of Dismay	Creatures and people up to level 23 flee from combat for 30 seconds.	23	3	2.5	263.435323681982
9F00AA87	Alch_DragonsElixirOfTheUnseen	Dragon's Elixir of the Unseen	Grants invisibility for 50 seconds.	0	5	50	293.654735772005
9F00AA86	Alch_WerewolfsBloodPoison05	Werewolf's Blood Poison (Remarkable)	Creatures and people up to level 23 flee from combat for 30 seconds.	23	3	2.5	263.435323681982
9F00AA85	Alch_WerewolfsBloodPoison04	Werewolf's Blood Poison (Great)	Creatures and people up to level 18 flee from combat for 30 seconds.	18	3	2.5	201.17459907123
9F00AA84	Alch_WerewolfsBloodPoison03	Werewolf's Blood Poison (Good)	Creatures and people up to level 13 flee from combat for 30 seconds.	13	3	2.5	140.640718486576
9F00AA83	Alch_WerewolfsBloodPoison02	Werewolf's Blood Poison (Decent)	Creatures and people up to level 8 flee from combat for 30 seconds.	8	3	2.5	82.4465286189982
9F00AA82	Alch_WerewolfsBloodPoison01	Werewolf's Blood Poison (Crude)	Creatures and people up to level 5 flee from combat for 30 seconds.	5	3	2.5	49.1632283639906
9F00AA81	Alch_WerewolfsBloodPotion04	Werewolf's Blood Potion (Remarkable)	Grants invisibility for 50 seconds.	0	5	50	293.654735772005
9F00AA80	Alch_WerewolfsBloodPotion03	Werewolf's Blood Potion (Great)	Grants invisibility for 40 seconds.	0	4	50	229.739670999407
9F00AA7F	Alch_WerewolfsBloodPotion02	Werewolf's Blood Potion (Good)	Grants invisibility for 30 seconds.	0	3	50	167.418476105086
9F00AA7E	Alch_WerewolfsBloodPotion01	Werewolf's Blood Potion (Decent)	Grants invisibility for 20 seconds.	0	2	50	107.177346253629
9F00AA7D	Alch_TrollsBloodPoison05	Troll's Blood Poison (Remarkable)	Immediately drains the target's Health by 120 points.	120	1	1.5	290.529762923172
9F00AA7C	Alch_TrollsBloodPoison04	Troll's Blood Poison (Great)	Immediately drains the target's Health by 100 points.	100	1	1.5	237.733978869167
9F00AA7B	Alch_TrollsBloodPoison03	Troll's Blood Poison (Good)	Immediately drains the target's Health by 80 points.	80	1	1.5	185.990278505801
9F00AA7A	Alch_TrollsBloodPoison02	Troll's Blood Poison (Decent)	Immediately drains the target's Health by 60 points.	60	1	1.5	135.536926915343
9F00AA79	Alch_TrollsBloodPoison01	Troll's Blood Poison (Crude)	Immediately drains the target's Health by 40 points.	40	1	1.5	86.7675329755155
