Name,Weight,Value,Base Rank,Base Solutions,Effects Rank,Effects
Abecean Longfin,0.50,15,0,"Betayammis sa Haelia   (Creatures),Mer Garlas sa Haelia   (Flesh),Mafre sa Haelia   (Frost),Betaltadoon sa Haelia   (Poisons),Relleis sa Haelia  (Water)",2,"Karan Kogo sa Gravia   (Force),Agea Arden sa Gravia   (Resistances)"
Ancestor Moth Wing,0.10,2,2,"Wel sa Gravia   (Air),Betayammis sa Gravia   (Creatures),Betaltadoon sa Gravia   (Poisons),Ghartok sa Gravia   (Stamina)",5,"Karan Kogo sa Sila (Force),Agea sa Sila (Magicka),Betaltadoon sa Sila (Poisons)"
Angelfish,0.25,48,0,,5,Wel sa Sila   (Air)
Angler Larvae,0.25,65,0,,4,"Karan Kogo sa Adonai   (Force),Agea Arden sa Adonai   (Resistances)"
Animal Fat,0.50,25,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh),Relleis sa Goria   (Water)",3,"Betaltadoon sa Baune   (Poisons),Relleis sa Baune   (Water)"
Ash Creep Cluster,0.25,5,0,,2,
Ash Hopper Jelly,0.25,10,1,"Betayammis sa Goria   (Creatures),Karan ry Ayammis sa Goria   (Health)",2,"Malatu Magicka sa Gravia   (Arcane Energy),Karan Kogo sa Gravia   (Force),Agea Arden sa Gravia   (Resistances)"
Ashen Grass Pod,0.10,7,0,"Molag sa Haelia   (Fire),Mora sa Haelia   (Nature),Agea Arden sa Haelia   (Resistances)",2,Agea Arden sa Gravia   (Resistances)
Bear Claws,0.10,35,1,"Betayammis sa Goria   (Creatures),Ghartok sa Goria   (Stamina),Altadoon sa Goria   (Weapons)",5,"Karan Kogo sa Sila (Force),Ghartok sa Sila (Stamina)"
Bear Eye,0.10,15,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh),Ayammis sa Goria   (Life)",3,Karan ry Ayammis sa Baune   (Health)
Bear Heart,1.75,40,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh),Betaltadoon sa Goria   (Poisons)",4,"Ayammis sa Adonai   (Life),Betaltadoon sa Adonai   (Poisons)"
Bear Tooth,0.10,17,1,"Betayammis sa Goria   (Creatures),Agea sa Goria   (Magicka)",2,"Malatu Magicka sa Gravia   (Arcane Energy),Karan Kogo sa Gravia   (Force),Agea sa Gravia   (Magicka)"
Bee,0.05,3,0,"Wel sa Haelia   (Air),Betayammis sa Haelia   (Creatures),Mer Garlas sa Haelia   (Flesh),Ghartok sa Haelia   (Stamina)",4,"Karan Kogo sa Adonai   (Force),Agea Arden sa Adonai   (Resistances),Ghartok sa Adonai   (Stamina)"
Beehive Husk,1.00,5,1,"Betayammis sa Goria   (Creatures),Bal sa Goria   (Earth),Betaltadoon sa Goria   (Poisons),Agea Arden sa Goria   (Resistances)",3,"Malatu Magicka sa Baune   (Arcane Energy),Karan Kogo sa Baune   (Force)"
Berit's Ashes,0.20,5,2,"Altadoon ry Bet sa Gravia   (Diseases),Bal sa Gravia   (Earth),Mer Garlas sa Gravia   (Flesh),Dunayammis sa Gravia   (Undead)",2,"Malatu Magicka sa Gravia   (Arcane Energy),Ghartok sa Gravia   (Stamina)"
Bleeding Crown,0.30,10,0,"Bal sa Haelia   (Earth),Molag sa Haelia   (Fire),Mora sa Haelia   (Nature),Betaltadoon sa Haelia   (Poisons)",2,"Karan Kogo sa Gravia   (Force),Agea Arden sa Gravia   (Resistances)"
Blisterwort,0.20,12,0,"Bal sa Haelia   (Earth),Mora sa Haelia   (Nature),Betaltadoon sa Haelia   (Poisons),Ghartok sa Haelia   (Stamina)",1,"Ayammis sa Goria   (Life),Betaltadoon sa Goria   (Poisons),Ghartok sa Goria   (Stamina)"
Blue Butterfly Wing,0.01,2,0,"Wel sa Haelia   (Air),Betayammis sa Haelia   (Creatures),Mer Garlas sa Haelia   (Flesh),Betaltadoon sa Haelia   (Poisons),Ghartok sa Haelia   (Stamina)",5,Betaltadoon sa Sila (Poisons)
Blue Dartwing,0.03,1,0,"Wel sa Haelia   (Air),Betayammis sa Haelia   (Creatures),Mer Garlas sa Haelia   (Flesh),Agea Arden sa Haelia   (Resistances),Wel sa Belle sa Haelia   (Shock)",2,"Malatu Magicka sa Gravia   (Arcane Energy),Ayammis sa Gravia   (Life)"
Blue Mountain Flower,0.10,1,0,"Karan ry Ayammis sa Haelia  (Health),Mora sa Haelia   (Nature),Relleis sa Haelia  (Water)",2,"Malatu Magicka sa Gravia   (Arcane Energy),Karan ry Ayammis sa Gravia   (Health),Ayammis sa Gravia   (Life)"
Boar Eye,0.10,31,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh),Ghartok sa Goria   (Stamina)",3,Agea Arden sa Baune   (Resistances)
Boar Heart,2.00,42,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh)",5,Betaltadoon sa Sila (Poisons)
Boar Tusk,0.50,5,1,"Betayammis sa Goria   (Creatures),Ghartok sa Goria   (Stamina)",1,"Ayammis sa Goria   (Life),Agea Arden sa Goria   (Resistances)"
Boiled Skeever Tail,0.20,23,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh),Karan ry Ayammis sa Goria   (Health),Betaltadoon sa Goria   (Poisons)",2,Betaltadoon sa Gravia   (Poisons)
Bone Meal,0.50,5,0,"Altadoon ry Bet sa Haelia   (Diseases),Bal sa Haelia   (Earth),Mer Garlas sa Haelia   (Flesh),Betaltadoon sa Haelia   (Poisons),Ghartok sa Haelia   (Stamina),Dunayammis sa Haelia   (Undead)",2,"Malatu Magicka sa Gravia   (Arcane Energy),Ghartok sa Gravia   (Stamina)"
Bonesap,0.20,33,1,Bal sa Goria   (Earth),5,Karan Kogo sa Sila (Force)
Briar Heart,0.50,100,2,"Malatu Magicka sa Gravia   (Arcane Energy),Volen Magicka sa Gravia   (Magical Constructs),Mer Garlas sa Gravia   (Flesh),Mer Ayammis sa Gravia   (Mortals),Agea sa Gravia   (Magicka),Dunayammis sa Gravia   (Undead)",3,"Malatu Magicka sa Baune   (Arcane Energy),Karan Kogo sa Baune   (Force),Agea sa Baune   (Magicka)"
Buck Antlers,2.00,25,1,"Karan sa Goria   (Armor),Betayammis sa Goria   (Creatures),Ghartok sa Goria   (Stamina),Altadoon sa Goria   (Weapons)",5,"Karan Kogo sa Sila (Force),Ghartok sa Sila (Stamina)"
Buck Antlers (Superlative),2.00,38,1,"Betayammis sa Goria   (Creatures),Betaltadoon sa Goria   (Poisons),Ghartok sa Goria   (Stamina)",5,
Bull Horn,3.00,21,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh)",4,"Karan Kogo sa Adonai   (Force),Ayammis sa Adonai   (Life),Agea Arden sa Adonai   (Resistances)"
Burnt Spriggan Wood,0.50,24,2,Molag sa Gravia   (Fire),5,Karan Kogo sa Sila (Force)
Canine Tooth,0.10,8,1,"Betayammis sa Goria   (Creatures),Karan ry Ayammis sa Goria   (Health),Betaltadoon sa Goria   (Poisons)",1,"Karan Kogo sa Goria   (Force),Karan ry Ayammis sa Goria   (Health)"
Canis Root,0.10,15,1,"Mora sa Goria   (Nature),Betaltadoon sa Goria   (Poisons),Ghartok sa Goria   (Stamina),Relleis sa Goria   (Water)",3,"Mallari sa Baune   (Metal),Betaltadoon sa Baune   (Poisons),Altadoon sa Baune   (Weapons)"
Charred Hawk Beak,0.25,45,1,"Molag sa Goria   (Fire),Karan ry Ayammis sa Goria   (Health)",3,Betaltadoon sa Baune   (Poisons)
Charred Skeever Hide,0.50,1,0,"Betayammis sa Haelia   (Creatures),Altadoon ry Bet sa Haelia   (Diseases),Molag sa Haelia   (Fire),Mer Garlas sa Haelia   (Flesh),Ghartok sa Haelia   (Stamina)",1,"Malatu Magicka sa Goria   (Arcane Energy),Ayammis sa Goria   (Life),Agea Arden sa Goria   (Resistances),Relleis sa Goria   (Water)"
Chaurus Eggs,0.20,10,1,"Betayammis sa Goria   (Creatures),Ayammis sa Goria   (Life),Latta sa Goria   (Light),Mora sa Goria   (Nature),Betaltadoon sa Goria   (Poisons)",1,"Karan Kogo sa Goria   (Force),Betaltadoon sa Goria   (Poisons),Agea Arden sa Goria   (Resistances)"
Chaurus Hunter Antennae,0.10,54,1,"Betayammis sa Goria   (Creatures),Betaltadoon sa Goria   (Poisons),Ghartok sa Goria   (Stamina)",5,"Karan Kogo sa Sila (Force),Agea sa Sila (Magicka),Betaltadoon sa Sila (Poisons)"
Chicken's Egg,0.50,2,0,"Malatu Magicka sa Haelia   (Arcane Energy),Betayammis sa Haelia   (Creatures),Ayammis sa Haelia   (Life),Mora sa Haelia   (Nature),Agea Arden sa Haelia   (Resistances)",5,
Creep Cluster,0.20,1,0,"Rellers ry Molag sa Haelia   (Acid),Bal sa Haelia   (Earth),Agea sa Haelia   (Magicka),Mora sa Haelia   (Nature),Relleis sa Haelia  (Water)",5,Karan Kogo sa Sila (Force)
