Name,Base,Effect,ArchType,Rank,Literal Archtype
Agea Arden sa Haelia   (Resistances),"Ashen Grass Pod,Blue Dartwing,Chicken's Egg,Dragon's Tongue,Fly Amanita,Frost Mirriam,Garlic,Glowing Mushroom,Grass Pod,Lavender,Slaughterfish Egg,Snowberries,Swamp Fungal Pod,Thistle Branch,Tundra Cotton,Yellow Mountain Flower",,Agea Arden,Haelia,Resistances
Agea sa Haelia   (Magicka),"Creep Cluster,Elves Ear,Hanging Moss,Luna Moth Wing,Mora Tapinella,Namira's Rot,Nordic Barnacle,Red Mountain Flower",,Agea,Haelia,Magicka
Altadoon ry Bet sa Haelia   (Diseases),"Bone Meal,Charred Skeever Hide,Large Mudcrab Chitin,Namira's Rot,Skeever Tail",,Altadoon ry Bet,Haelia,
Arden sa Haelia   (Sheild),Mudcrab Chitin,,Arden,Haelia,
Ayammis sa Haelia   (Life),"Chicken's Egg,Grass Pod,Nordic Barnacle,Pine Thrush Egg,Rock Warbler Egg,Slaughterfish Egg,Wheat",,Ayammis,Haelia,
Bal sa Haelia   (Earth),"Bleeding Crown,Blisterwort,Bone Meal,Creep Cluster,Fly Amanita,Giant Lichen,Glowing Mushroom,Imp Stool,Mora Tapinella,Namira's Rot,Salt,Scaly Pholiota,Swamp Fungal Pod,White Cap",,Bal,Haelia,
Betaltadoon sa Haelia   (Poisons),"Abecean Longfin,Bleeding Crown,Blisterwort,Blue Butterfly Wing,Bone Meal,Cyrodilic Spadetail,Garlic,Giant Lichen,Grass Pod,Hanging Moss,Imp Stool,Jazbay Grapes,Juniper Berries,Luna Moth Wing,Namira's Rot,Nordic Barnacle,River Betty,Salt,Scaly Pholiota,Scathecraw,Skeever Tail,Slaughterfish Egg,Trama Root,White Cap,Yellow Mountain Flower",,Betaltadoon,Haelia,
Betayammis sa Haelia   (Creatures),"Abecean Longfin,Bee,Blue Butterfly Wing,Blue Dartwing,Charred Skeever Hide,Chicken's Egg,Cyrodilic Spadetail,Dragon's Tongue,Giant Lichen,Histcarp,Large Mudcrab Chitin,Luna Moth Wing,Monarch Wing,Mudcrab Chitin,Nordic Barnacle,Orange Dartwing,Pine Thrush Egg,Powdered Mudcrab Chitin,River Betty,Rock Warbler Egg,Silverside Perch,Skeever Tail,Slaughterfish Egg,Torchbug Abdomen",,Betayammis,Haelia,
Dunayammis sa Haelia   (Undead),Bone Meal,,Dunayammis,Haelia,
Ghartok sa Haelia   (Stamina),"Bee,Blisterwort,Blue Butterfly Wing,Bone Meal,Charred Skeever Hide,Cyrodilic Spadetail,Histcarp,Mudcrab Chitin,Orange Dartwing,Pine Thrush Egg,Purple Mountain Flower,Silverside Perch,Skeever Tail,Torchbug Abdomen",,Ghartok,Haelia,
Karan ry Ayammis sa Haelia  (Health),"Blue Mountain Flower,Imp Stool,Monarch Wing,Powdered Mudcrab Chitin,River Betty,Rock Warbler Egg,Scathecraw,Wheat",,Karan ry Ayammis,Haelia,
Karan sa Haelia   (Armor),"Mudcrab Chitin,Nordic Barnacle",,Karan,Haelia,
Latta sa Haelia   (Light),"Glowing Mushroom,Luna Moth Wing,Torchbug Abdomen",,Latta,Haelia,
Mafre sa Haelia   (Frost),"Abecean Longfin,Frost Mirriam,Snowberries,Thistle Branch,White Cap",,Mafre,Haelia,
Malatu Magicka sa Haelia   (Arcane Energy),"Chicken's Egg,Lavender,Tundra Cotton",,Malatu Magicka,Haelia,
