Spell,School,Cast Type,Spell Level,Target,Technique,Elements,Notes,Tome Crafting,Scroll Crafting
Absorb Essence,Alteration,Concentration,Master,Actor,Siphon,"Health,Magicka,Stamina",Missing - Will be added in R4,checked,
Absorb Health,Alteration,Concentration,Adept,Actor,Siphon,Health,,checked,
Absorb Magicka,Alteration,Concentration,Adept,Actor,Siphon,Magicka,,checked,
Absorb Stamina,Alteration,Concentration,Adept,Actor,Siphon,Stamina,,checked,
Absorbing Grasp,Alteration,Fire & Forget,Novice,Actor,Siphon,Health,Will be corrected to Concentration in R4,checked,
Arcane Mending,Alteration,Fire & Forget,Expert,Actor,Telekinesis,"Construct,Daedra,Health,Metal",,checked,
Ash Rune,Alteration,Fire & Forget,Expert,"AOE,Location",,"Construct,Earth,Fire,Trap",,checked,
Ash Shell,Alteration,Fire & Forget,Adept,Actor,Telekinesis,"Flesh,Earth,Fire",Will be Expert in R4,checked,
Candlelight,Alteration,Fire & Forget,Novice,Self,,"Construct,Light",,checked,checked
Detect Aura,Alteration,Fire & Forget,Master,Self,Sense,"Construct,Creature,Human,Undead",,checked,
Detect Death,Alteration,Concentration,Expert,Self,Sense,Undead,,checked,
Detect Life,Alteration,Concentration,Adept,Self,Sense,"Creature,Human",,checked,checked
Featherfalling,Alteration,Fire & Forget,Apprentice,Self,"Cloak,Telekinesis",,,checked,
Knock (Rank I),Alteration,Fire & Forget,Apprentice,Actor,Telekinesis,Metal,Will have scroll in R4,checked,
Knock (Rank II),Alteration,Fire & Forget,Adept,Actor,Telekinesis,Metal,,checked,checked
Knock (Rank III),Alteration,Fire & Forget,Adept,Actor,Metal,Telekinesis,"Will be corrected to master in R4,Will have scroll in R4",checked,
Lightning Speed,Alteration,Fire & Forget,Master,Self,"Sense,Strengthen",Flesh,,checked,
Mage Armor on Self (Rank I),Alteration,Fire & Forget,Novice,Self,Infuse,"Armor,Flesh,Nature",,checked,checked
Mage Armor on Self (Rank II),Alteration,Fire & Forget,Apprentice,Self,Infuse,"Armor,Flesh,Earth",,checked,checked
Mage Armor on Self (Rank III),Alteration,Fire & Forget,Adept,Self,Infuse,"Armor,Flesh,Metal",,checked,checked
Mage Armor on Self (Rank IV),Alteration,Fire & Forget,,Self,Infuse,"Armor,Flesh,Metal",,checked,checked
Mage Armor on Self (Rank V),Alteration,Fire & Forget,Master,Self,Infuse,"Armor,Flesh,Creature",Cannot be discovered via Spell research,checked,checked
Mage Armor on Target (Rank I),Alteration,Fire & Forget,Adept,Actor,,"Armor,Force",,checked,
Mage Armor on Target (Rank II),Alteration,Fire & Forget,Expert,Actor,,"Armor,Force",,checked,
Mage Armor on Target (Rank III),Alteration,Fire & Forget,Master,Actor,,"Armor,Force",,checked,
Mage Coat (Rank II),Alteration,Fire & Forget,Adept,Self,Infuse,"Creature,Fire,Flesh",,checked,checked
Mage Coat (Rank III),Alteration,Fire & Forget,Expert,Self,Infuse,"Creature,Fire,Flesh",,checked,checked
