| Elixir Name | Effect | Required Solutions | Magnitude | Duration | Strength |
|:---|:---|:---|:---:|:---:|:---:|
| Void Salts |  | Pelleni Ayammis sa Baune,Agea Arden sa Baune,Wel sa Belle sa Baune |  |  |  |
| Salt |  | Relleis sa Goria,Bal sa Goria |  |  |  |
| Glow Dust |  | Malatu Magicka sa Baune,Volen Magicka sa Baune,Agea sa Baune,Latta sa Baune |  |  |  |
| Frost Salts |  | Pelleni Ayammis sa Baune,Agea Arden sa Baune,Mafre sa Baune |  |  |  |
| Fire Salts |  | Pelleni Ayammis sa Baune,Molag sa Baune,Agea Arden sa Baune |  |  |  |
| Paper Roll I  |  | Wood,Betayammis sa Haelia |  |  |  |
| Paper Roll II |  | Wood,Mer Garlas sa Haelia |  |  |  |
| Paper Roll III |  | Wood,Mora sa Haelia |  |  |  |
| Inkwell I |  | charcoal,Mora sa Goria |  |  |  |
| Inkwell II |  | charcoal,Betayammis sa Goria |  |  |  |
| Inkwell III |  | iron ore,Mora sa Goria |  |  |  |
| Mild Elixir | Cure Disease   | Mer Ayammis,Altadoon ry Bet,Ayammis | 4.00 | 0 | Mild |
| Strong Elixir | Cure Disease   | Mer Ayammis,Altadoon ry Bet,Ayammis | 8.00 | 0 | Strong |
| Concentrated Elixir | Cure Disease   | Mer Ayammis,Altadoon ry Bet,Ayammis | 32.00 | 0 | Concentrated |
| Weak Elixir | Cure Disease   | Mer Ayammis,Altadoon ry Bet,Ayammis | 2.00 | 0 | Weak |
| Potent Elixir | Cure Disease   | Mer Ayammis,Altadoon ry Bet,Ayammis | 16.00 | 0 | Potent |
| Dilute Elixir | Cure Disease   | Mer Ayammis,Altadoon ry Bet,Ayammis | 1.00 | 0 | Dilute |
| Strong Elixir | Damage Health   | Karan ry Ayammis,Betaltadoon,Betayammis | 4.00 | 0 | Strong |
| Concentrated Elixir | Damage Health   | Karan ry Ayammis,Betaltadoon,Betayammis | 16.00 | 0 | Concentrated |
| Potent Elixir | Damage Health   | Karan ry Ayammis,Betaltadoon,Betayammis | 8.00 | 0 | Potent |
| Weak Elixir | Damage Health   | Karan ry Ayammis,Betaltadoon,Betayammis | 1.00 | 0 | Weak |
| Mild Elixir | Damage Health   | Karan ry Ayammis,Betaltadoon,Betayammis | 2.00 | 0 | Mild |
| Dilute Elixir | Damage Health   | Karan ry Ayammis,Betaltadoon,Betayammis | 0.50 | 0 | Dilute |
| Weak Elixir | Damage Magicka   | Agea,Betaltadoon,Betayammis | 1.50 | 0 | Weak |
| Strong Elixir | Damage Magicka   | Agea,Betaltadoon,Betayammis | 6.00 | 0 | Strong |
| Dilute Elixir | Damage Magicka   | Agea,Betaltadoon,Betayammis | 0.75 | 0 | Dilute |
| Mild Elixir | Damage Magicka   | Agea,Betaltadoon,Betayammis | 3.00 | 0 | Mild |
| Potent Elixir | Damage Magicka   | Agea,Betaltadoon,Betayammis | 12.00 | 0 | Potent |
| Concentrated Elixir | Damage Magicka   | Agea,Betaltadoon,Betayammis | 24.00 | 0 | Concentrated |
| Dilute Elixir | Damage Magicka Regen   | Agea,Pellenni Ayammis,Betayammis | 100.00 | 1 | Dilute |
| Concentrated Elixir | Damage Magicka Regen   | Agea,Pellenni Ayammis,Betayammis | 100.00 | 40 | Concentrated |
| Potent Elixir | Damage Magicka Regen   | Agea,Pellenni Ayammis,Betayammis | 100.00 | 20 | Potent |
| Strong Elixir | Damage Magicka Regen   | Agea,Pellenni Ayammis,Betayammis | 100.00 | 10 | Strong |
| Mild Elixir | Damage Magicka Regen   | Agea,Pellenni Ayammis,Betayammis | 100.00 | 5 | Mild |
| Weak Elixir | Damage Magicka Regen   | Agea,Pellenni Ayammis,Betayammis | 100.00 | 3 | Weak |
| Weak Elixir | Damage Maximum Health   | Karan ry Ayammis,Betayammis,Rellers ry Molag | 1.30 | 7 | Weak |
| Dilute Elixir | Damage Maximum Health   | Karan ry Ayammis,Betayammis,Rellers ry Molag | 0.90 | 4 | Dilute |
| Mild Elixir | Damage Maximum Health   | Karan ry Ayammis,Betayammis,Rellers ry Molag | 2.00 | 10 | Mild |
| Potent Elixir | Damage Maximum Health   | Karan ry Ayammis,Betayammis,Rellers ry Molag | 4.50 | 23 | Potent |
| Strong Elixir | Damage Maximum Health   | Karan ry Ayammis,Betayammis,Rellers ry Molag | 3.00 | 15 | Strong |
| Concentrated Elixir | Damage Maximum Health   | Karan ry Ayammis,Betayammis,Rellers ry Molag | 6.75 | 34 | Concentrated |
| Dilute Elixir | Damage Maximum Magicka   | Agea,Betayammis,Rellers ry Molag | 0.90 | 4 | Dilute |
| Mild Elixir | Damage Maximum Magicka   | Agea,Betayammis,Rellers ry Molag | 2.00 | 10 | Mild |
| Potent Elixir | Damage Maximum Magicka   | Agea,Betayammis,Rellers ry Molag | 4.50 | 23 | Potent |
| Concentrated Elixir | Damage Maximum Magicka   | Agea,Betayammis,Rellers ry Molag | 6.80 | 34 | Concentrated |
| Strong Elixir | Damage Maximum Magicka   | Agea,Betayammis,Rellers ry Molag | 3.00 | 15 | Strong |
| Weak Elixir | Damage Maximum Magicka   | Agea,Betayammis,Rellers ry Molag | 1.30 | 7 | Weak |
| Strong Elixir | Damage Stamina   | Ghartok,Betaltadoon,Betayammis | 6.00 | 0 | Strong |
| Dilute Elixir | Damage Stamina   | Ghartok,Betaltadoon,Betayammis | 0.80 | 0 | Dilute |
| Weak Elixir | Damage Stamina   | Ghartok,Betaltadoon,Betayammis | 1.50 | 0 | Weak |
| Concentrated Elixir | Damage Stamina   | Ghartok,Betaltadoon,Betayammis | 24.00 | 0 | Concentrated |
| Potent Elixir | Damage Stamina   | Ghartok,Betaltadoon,Betayammis | 12.00 | 0 | Potent |
| Mild Elixir | Damage Stamina   | Ghartok,Betaltadoon,Betayammis | 3.00 | 0 | Mild |
| Strong Elixir | Damage Stamina Regen   | Ghartok,Pellenni Ayammis,Betayammis | 100.00 | 10 | Strong |
| Concentrated Elixir | Damage Stamina Regen   | Ghartok,Pellenni Ayammis,Betayammis | 100.00 | 40 | Concentrated |
| Potent Elixir | Damage Stamina Regen   | Ghartok,Pellenni Ayammis,Betayammis | 100.00 | 20 | Potent |
| Weak Elixir | Damage Stamina Regen   | Ghartok,Pellenni Ayammis,Betayammis | 100.00 | 3 | Weak |
| Dilute Elixir | Damage Stamina Regen   | Ghartok,Pellenni Ayammis,Betayammis | 100.00 | 1 | Dilute |
