Old Name | New Name
================================================================================
Cure Disease (Dilute) | Diluted Glowing Elixir
Cure Disease (Weak) | Weak Glowing Elixir
Cure Disease (Mild) | Mild Glowing Elixir
Cure Disease (Strong) | Strong Glowing Elixir
Cure Disease (Potent) | Potent Glowing Elixir
Cure Disease (Concentrated) | Concentrated Glowing Elixir
Damage Health (Dilute) | Diluted Grainy Elixir
Damage Health (Weak) | Weak Grainy Elixir
Damage Health (Mild) | Mild Grainy Elixir
Damage Health (Strong) | Strong Grainy Elixir
Damage Health (Potent) | Potent Grainy Elixir
Damage Health (Concentrated) | Concentrated Grainy Elixir
Damage Health Duration (Dilute) | Diluted Neon Elixir
Damage Health Duration (Weak) | Weak Neon Elixir
Damage Health Duration (Mild) | Mild Neon Elixir
Damage Health Duration (Strong) | Strong Neon Elixir
Damage Health Duration (Potent) | Potent Neon Elixir
Damage Health Duration (Concentrated) | Concentrated Neon Elixir
Damage Health Ravage (Dilute) | Diluted Stale Elixir
Damage Health Ravage (Weak) | Weak Stale Elixir
Damage Health Ravage (Mild) | Mild Stale Elixir
Damage Health Ravage (Strong) | Strong Stale Elixir
Damage Health Ravage (Potent) | Potent Stale Elixir
Damage Health Ravage (Concentrated) | Concentrated Stale Elixir
Damage Magicka (Dilute) | Diluted Chunky Elixir
Damage Magicka (Weak) | Weak Chunky Elixir
Damage Magicka (Mild) | Mild Chunky Elixir
Damage Magicka (Strong) | Strong Chunky Elixir
Damage Magicka (Potent) | Potent Chunky Elixir
Damage Magicka (Concentrated) | Concentrated Chunky Elixir
Damage Magicka Duration (Dilute) | Diluted Mushy Elixir
Damage Magicka Duration (Weak) | Weak Mushy Elixir
Damage Magicka Duration (Mild) | Mild Mushy Elixir
Damage Magicka Duration (Strong) | Strong Mushy Elixir
Damage Magicka Duration (Potent) | Potent Mushy Elixir
Damage Magicka Duration (Concentrated) | Concentrated Mushy Elixir
Damage Magicka Rate (Dilute) | Diluted Pale Elixir
Damage Magicka Rate (Weak) | Weak Pale Elixir
Damage Magicka Rate (Mild) | Mild Pale Elixir
Damage Magicka Rate (Strong) | Strong Pale Elixir
Damage Magicka Rate (Potent) | Potent Pale Elixir
Damage Magicka Rate (Concentrated) | Concentrated Pale Elixir
Damage Magicka Ravage (Dilute) | Diluted Golden Elixir
Damage Magicka Ravage (Weak) | Weak Golden Elixir
Damage Magicka Ravage (Mild) | Mild Golden Elixir
Damage Magicka Ravage (Strong) | Strong Golden Elixir
Damage Magicka Ravage (Potent) | Potent Golden Elixir
Damage Magicka Ravage (Concentrated) | Concentrated Golden Elixir
Damage Speed (Dilute) | Diluted Gelatinous Elixir
Damage Speed (Weak) | Weak Gelatinous Elixir
Damage Speed (Mild) | Mild Gelatinous Elixir
Damage Speed (Strong) | Strong Gelatinous Elixir
Damage Speed (Potent) | Potent Gelatinous Elixir
Damage Speed (Concentrated) | Concentrated Gelatinous Elixir
Damage Stamina (Dilute) | Diluted Bitter Elixir
Damage Stamina (Weak) | Weak Bitter Elixir
Damage Stamina (Mild) | Mild Bitter Elixir
Damage Stamina (Strong) | Strong Bitter Elixir
Damage Stamina (Potent) | Potent Bitter Elixir
Damage Stamina (Concentrated) | Concentrated Bitter Elixir
Damage Stamina Duration (Dilute) | Diluted Runny Elixir
Damage Stamina Duration (Weak) | Weak Runny Elixir
Damage Stamina Duration (Mild) | Mild Runny Elixir
Damage Stamina Duration (Strong) | Strong Runny Elixir
Damage Stamina Duration (Potent) | Potent Runny Elixir
Damage Stamina Duration (Concentrated) | Concentrated Runny Elixir
Damage Stamina Rate (Dilute) | Diluted Rancid Elixir
Damage Stamina Rate (Weak) | Weak Rancid Elixir
Damage Stamina Rate (Mild) | Mild Rancid Elixir
Damage Stamina Rate (Strong) | Strong Rancid Elixir
Damage Stamina Rate (Potent) | Potent Rancid Elixir
Damage Stamina Rate (Concentrated) | Concentrated Rancid Elixir
Damage Stamina Ravage (Dilute) | Diluted Acidic Elixir
Damage Stamina Ravage (Weak) | Weak Acidic Elixir
Damage Stamina Ravage (Mild) | Mild Acidic Elixir
Damage Stamina Ravage (Strong) | Strong Acidic Elixir
Damage Stamina Ravage (Potent) | Potent Acidic Elixir
Damage Stamina Ravage (Concentrated) | Concentrated Acidic Elixir
Fear (Dilute) | Diluted Cold Elixir
Fear (Weak) | Weak Cold Elixir
Fear (Mild) | Mild Cold Elixir
Fear (Strong) | Strong Cold Elixir
Fear (Potent) | Potent Cold Elixir
Fear (Concentrated) | Concentrated Cold Elixir
Fortify Alteration (Dilute) | Diluted Sticky Elixir
Fortify Alteration (Weak) | Weak Sticky Elixir
Fortify Alteration (Mild) | Mild Sticky Elixir
Fortify Alteration (Strong) | Strong Sticky Elixir
Fortify Alteration (Potent) | Potent Sticky Elixir
Fortify Alteration (Concentrated) | Concentrated Sticky Elixir
Fortify Barter (Dilute) | Diluted Shimmering Elixir
Fortify Barter (Weak) | Weak Shimmering Elixir
Fortify Barter (Mild) | Mild Shimmering Elixir
Fortify Barter (Strong) | Strong Shimmering Elixir
Fortify Barter (Potent) | Potent Shimmering Elixir
Fortify Barter (Concentrated) | Concentrated Shimmering Elixir
Fortify Block (Dilute) | Diluted Smoky Elixir
Fortify Block (Weak) | Weak Smoky Elixir
