"EditorID","OutputName","OutputQty","IngredientCount","WorkbenchKeyword"
"Armor_ElvenLightBoots_Temper","105F11:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_ElvenLightCuirass_Temper","105F12:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_ElvenLightGauntlets_Temper","105F13:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_ElvenLightHelmet_Temper","105F14:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_FalmerBoots_Temper","0B83CD:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_FalmerCuirass_Temper","0B83CB:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_FalmerBracers_Temper","0B83CF:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_FalmerHelmet_Temper","04C3CB:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_FalmerShield_Temper","05C06C:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_AncientNordicBoots_Temper","056A9D:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_AncientNordicCuirass_Temper","018388:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_AncientNordicGauntlets_Temper","056B17:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_AncientNordicHelmet_Temper","056A9E:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_IronCuirass_Temper","012E49:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_IronHeavyShield_Temper","012EB6:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_IronBoots_Temper","012E4B:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_IronGauntlets_Temper","012E46:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_IronHelmet_Temper","012E4D:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_LeatherBoots_Temper","013920:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_LeatherCuirass_Temper","03619E:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_LeatherBracers_Temper","013921:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_LeatherHelmet_Temper","013922:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_HideBoots_Temper","013910:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_HideCuirass_Temper","013911:Skyrim.esm","1","1","CraftingArmorTable"
