"EditorID","OutputName","OutputQty","IngredientCount","WorkbenchKeyword"
"Book_BCSLL_DA_Cheap_ArrowshotWoman_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
"Book_BCSLL_DA_Cheap_BrokenDiamonds_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
"Book_BCSLL_DA_Cheap_CrendalTownDrunk_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
"Book_BCSLL_DA_Cheap_EpicGreyFalcon_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
"Book_BCSLL_DA_Cheap_HistoryDaggerfall_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
"Book_BCSLL_DA_Cheap_HolidaysIliacBay_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
"Book_BCSLL_DA_Cheap_Jokes_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
"Book_BCSLL_DA_Cheap_LegalBasics_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
"Book_BCSLL_DA_Cheap_RudeSong_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
"Book_BCSLL_DA_Cheap_WarBetonyDaggerfall_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
"Book_BCSLL_DA_Cheap_WarBetonySentinel_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
"Book_BCSLL_DA_Cheap_WayrestJewelBay_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
"Book_BCSLL_DA_Common_Alikr_SKILL_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
"Book_BCSLL_DA_Common_AsylumBall_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
"Book_BCSLL_DA_Common_BankersBet_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
"Book_BCSLL_DA_Common_CrystalTower_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
"Book_BCSLL_DA_Common_FallUsurper_BreakdownPaper","Paper Roll","2","1","CraftingBreakdown"
