"EditorID","OutputName","OutputQty","IngredientCount","WorkbenchKeyword"
"Ingr_PowderedMudcrabChitin_RecipeLarge","Powdered Mudcrab Chitin","2","1","CraftingPlayer"
"Ingr_CuredSkeeverHide_Recipe","Cured Skeever Hide","1","2","0A5CB3:Skyrim.esm"
"Ingr_BuckAntlers_Breakdown","Fragment: Bone","4","1","CraftingBreakdown"
"Ingr_DoeAntlers_Breakdown","Fragment: Bone","2","1","CraftingBreakdown"
"Ingr_BearClaws_Breakdown","Fragment: Bone","1","1","CraftingBreakdown"
"Ingr_WolfClaws_Breakdown","Fragment: Bone","1","1","CraftingBreakdown"
"Ingr_SabreCatClaws_Breakdown","Fragment: Bone","1","1","CraftingBreakdown"
"Ingr_BearTooth_Breakdown","Fragment: Bone","1","1","CraftingBreakdown"
"Ingr_CanineTooth_Breakdown","Fragment: Bone","1","1","CraftingBreakdown"
"Ingr_SabreCatTooth_Breakdown","Fragment: Bone","1","1","CraftingBreakdown"
"Ingr_BullHorn_Breakdown","Fragment: Bone","4","1","CraftingBreakdown"
"Ingr_CharredSkeeverHide_Recipe","052695:Skyrim.esm","1","1","0A5CB3:Skyrim.esm"
"Ingr_PolishedSlaughterfishScales_Recipe","Polished Slaughterfish Scales","1","1","CraftingPlayer"
"Ingr_CharredHawkBeak_Recipe","Charred Hawk Beak","1","1","0A5CB3:Skyrim.esm"
"Ingr_DyedHawkFeathers_Recipe","Dyed Hawk Feathers","3","2","0A5CB3:Skyrim.esm"
"Ingr_PolishedBearEye_Recipe","Polished Bear Eye","1","1","CraftingPlayer"
"Ingr_PolishedFoxEye_Recipe","Polished Fox Eye","1","1","CraftingPlayer"
"Ingr_PolishedHareEye_Recipe","Polished Hare Eye","1","1","CraftingPlayer"
"Ingr_PolishedMammothEye_Recipe","Polished Mammoth Eye","1","1","CraftingPlayer"
"Ingr_PolishedSabrecatEye_Recipe","Polished Sabre Cat Eye","1","1","CraftingPlayer"
"Ingr_PolishedWolfEye_Recipe","Polished Wolf Eye","1","1","CraftingPlayer"
"Ingr_BoiledSkeeverTail_Recipe","Boiled Skeever Tail","1","1","CraftingPlayer"
"Ingr_PolishedWerewolfEye_Recipe","Polished Werewolf Eye","1","1","CraftingPlayer"
"Ingr_PolishedTrollEye_Recipe","Polished Troll Eye","1","1","CraftingPlayer"
"Ingr_PolishedDragonEye_Recipe","Polished Dragon Eye","1","1","CraftingPlayer"
"Ingr_Bonemeal_Recipe","Bone Meal","1","1","CraftingPlayer"
"Ingr_SprigganSap_Recipe","Spriggan Sap","1","1","0A5CB3:Skyrim.esm"
"Ingr_Bonesap_Recipe","Bonesap","1","2","CraftingPlayer"
"Ingr_DoeAntlersSuperlative_Breakdown","Fragment: Bone","3","1","CraftingBreakdown"
"Ingr_BuckAntlersSuperlative_Breakdown","Fragment: Bone","5","1","CraftingBreakdown"
"Ingr_DoeAntlersSuperlative_Breakdown05","Fragment: Bone","10","1","CraftingBreakdown"
"Ingr_BuckAntlersSuperlative_Breakdown05","Fragment: Bone","20","1","CraftingBreakdown"
"Ingr_BuckAntlers_Breakdown05","Fragment: Bone","20","1","CraftingBreakdown"
"Ingr_DoeAntlers_Breakdown05","Fragment: Bone","10","1","CraftingBreakdown"
"Ingr_BearClaws_Breakdown05","Fragment: Bone","5","1","CraftingBreakdown"
"Ingr_BearTooth_Breakdown05","Fragment: Bone","5","1","CraftingBreakdown"
"Ingr_BullHorn_Breakdown05","Fragment: Bone","20","1","CraftingBreakdown"
"Ingr_CanineTooth_Breakdown05","Fragment: Bone","5","1","CraftingBreakdown"
"Ingr_SabreCatClaws_Breakdown05","Fragment: Bone","5","1","CraftingBreakdown"
"Ingr_SabreCatTooth_Breakdown05","Fragment: Bone","5","1","CraftingBreakdown"
"Ingr_WolfClaws_Breakdown05","Fragment: Bone","5","1","CraftingBreakdown"
"Ingr_PolishedBoarEye_Recipe","Polished Boar Eye","1","1","CraftingPlayer"
"Ingr_RedGlitterdust_RecipeGarnet","Red Glitterdust","4","1","CraftingPlayer"
"Ingr_RedGlitterdust_RecipeGarnetFlawless","Red Glitterdust","4","1","CraftingPlayer"
"Ingr_RedGlitterdust_RecipeRuby","Red Glitterdust","4","1","CraftingPlayer"
"Ingr_RedGlitterdust_RecipeRubyFlawless","Red Glitterdust","5","1","CraftingPlayer"
"Ingr_SapphireGlitterdust_Recipe","Sapphire Glitterdust","3","1","CraftingPlayer"
"Ingr_SapphireGlitterdust_RecipeFlawless","Sapphire Glitterdust","5","1","CraftingPlayer"
"Ingr_SlaughterfishScales_Recipe","Slaughterfish Scales","5","1","CraftingPlayer"
"Ingr_PowderedMammothTusk_Recipe","Powdered Mammoth Tusk","1","1","CraftingPlayer"
"Ingr_Salt_RecipeBoiledBottle","Salt","1","1","0A5CB3:Skyrim.esm"
"Ingr_Salt_RecipeBoiledWaterskin","Salt","1","1","0A5CB3:Skyrim.esm"
"Ingr_CharredHawkBeak_RecipeSurvival","Charred Hawk Beak","1","1","CraftingPlayer"
"Ingr_CharredSkeeverHide_RecipeSurvival","052695:Skyrim.esm","1","1","CraftingPlayer"
