"EditorID","OutputName","OutputQty","IngredientCount","WorkbenchKeyword"
"Misc_PeltGoat_ProcessLeather","Leather","1","1","CraftingRack"
"Misc_PeltCow_ProcessLeather","Leather","3","1","CraftingRack"
"Misc_PeltElk_ProcessLeather","Leather","2","1","CraftingRack"
"Misc_PeltWolf_ProcessLeather","Leather","1","1","CraftingRack"
"Misc_IngotIron_Recipe5","Ingot: Iron","1","1","0A5CCE:Skyrim.esm"
"Misc_IngotCorundum_Recipe5","Ingot: Corundum","1","1","0A5CCE:Skyrim.esm"
"Misc_IngotEbony_Recipe5","Ingot: Ebony","1","1","0A5CCE:Skyrim.esm"
"Misc_IngotGold_Recipe5","Ingot: Gold","1","1","0A5CCE:Skyrim.esm"
"Misc_IngotMoonstone_Recipe5","Ingot: Moonstone","1","1","0A5CCE:Skyrim.esm"
"Misc_IngotMalachite_Recipe5","Ingot: Malachite","1","1","0A5CCE:Skyrim.esm"
"Misc_IngotOrichalcum_Recipe5","Ingot: Orichalcum","1","1","0A5CCE:Skyrim.esm"
"Misc_IngotQuicksilver_Recipe5","Ingot: Quicksilver","1","1","0A5CCE:Skyrim.esm"
"Misc_IngotSilver_Recipe5","Ingot: Silver","1","1","0A5CCE:Skyrim.esm"
"Misc_IngotSteel_Recipe","Ingot: Steel","1","2","0A5CCE:Skyrim.esm"
"Misc_PeltIceWolf_ProcessLeather","Leather","1","1","CraftingRack"
"Misc_PeltBear_ProcessLeather","Leather","4","1","CraftingRack"
"Misc_PeltCaveBear_ProcessLeather","Leather","4","1","CraftingRack"
"Misc_PeltSnowBear_ProcessLeather","Leather","4","1","CraftingRack"
"Misc_PeltSabreCat_ProcessLeather","Leather","3","1","CraftingRack"
"Misc_PeltSnowySabreCat_ProcessLeather","Leather","3","1","CraftingRack"
"Misc_PeltHorse_ProcessLeather","Leather","3","1","CraftingRack"
"Misc_LeatherStrips_Recipe","Leather Strips","4","1","CraftingRack"
"Misc_PeltFox_ProcessLeather","Leather Strips","2","1","CraftingRack"
"Misc_PeltSnowFox_ProcessLeather","Leather Strips","2","1","CraftingRack"
"Misc_DwarvenLargePlateMetal_Breakdown","Fragment: Dwarven","60","1","CraftingBreakdown"
"Misc_DwarvenBentScrap_Breakdown","Fragment: Dwarven","10","1","CraftingBreakdown"
"Misc_DwarvenLargeStrut_Breakdown","Fragment: Dwarven","180","1","CraftingBreakdown"
"Misc_DwarvenSolidMetal_Breakdown","Fragment: Dwarven","150","1","CraftingBreakdown"
"Misc_DwarvenDecoratedStrut_Breakdown","Fragment: Dwarven","210","1","CraftingBreakdown"
"Misc_DwarvenSmallPlateMetal_Breakdown","Fragment: Dwarven","30","1","CraftingBreakdown"
"Misc_DwarvenScrapMetal_Breakdown","Fragment: Dwarven","5","1","CraftingBreakdown"
"Misc_PeltCaveBear_ProcessFurPlate","Fur Plate","4","1","CraftingRack"
"Misc_PeltBear_ProcessFurPlate","Fur Plate","4","1","CraftingRack"
"Misc_PeltSnowBear_ProcessFurPlate","Fur Plate","4","1","CraftingRack"
"Misc_PeltCow_ProcessFurPlate","Fur Plate","3","1","CraftingRack"
"Misc_PeltElk_ProcessFurPlate","Fur Plate","2","1","CraftingRack"
"Misc_PeltDeer_ProcessFurPlate","Fur Plate","2","1","CraftingRack"
"Misc_PeltFox_ProcessFurPlate","Fur Plate","1","1","CraftingRack"
"Misc_PeltSnowFox_ProcessFurPlate","Fur Plate","1","1","CraftingRack"
"Misc_PeltGoat_ProcessFurPlate","Fur Plate","1","1","CraftingRack"
"Misc_PeltHorse_ProcessFurPlate","Fur Plate","3","1","CraftingRack"
"Misc_PeltIceWolf_ProcessFurPlate","Fur Plate","1","1","CraftingRack"
"Misc_PeltSabreCat_ProcessFurPlate","Fur Plate","3","1","CraftingRack"
"Misc_PeltSnowySabreCat_ProcessFurPlate","Fur Plate","3","1","CraftingRack"
"Misc_PeltWerewolf_ProcessFurPlate","Fur Plate","4","1","CraftingRack"
"Misc_PeltWolf_ProcessFurPlate","Fur Plate","1","1","CraftingRack"
"Misc_LeatherDark_Recipe","Leather: Dark","1","2","CraftingPlayer"
"Misc_LeatherRed_Recipe","Leather: Red","1","2","CraftingPlayer"
"Misc_HideLace_Recipe","Hide Lace","4","1","CraftingRack"
"Misc_IngotCalcinium_Recipe","Ingot: Calcinium","1","2","0A5CCE:Skyrim.esm"
"Misc_IngotGalatite_Recipe","Ingot: Galatite","1","2","0A5CCE:Skyrim.esm"
"Misc_PeltValeSabreCat_ProcessLeather","Leather","3","1","CraftingRack"
"Misc_PeltValeDeer_ProcessLeather","Leather","2","1","CraftingRack"
"Misc_IronFittings_Recipe","Iron Fittings","1","1","CraftingForge"
"Misc_IronNails_Recipe","Iron Nails","10","1","CraftingForge"
"Misc_IronHinge_Recipe","Iron Hinge","2","1","CraftingForge"
"Misc_IronLock_Recipe","Iron Lock","1","2","CraftingForge"
"Misc_IronShiv_Temper","Iron Shiv","1","1","088108:Skyrim.esm"
"Misc_PeltWerewolf_ProcessLeather","Leather","4","1","CraftingRack"
"Misc_PeltDeer_ProcessLeather","Leather","2","1","CraftingRack"
"Misc_TanningRack_RecipeLace","036B4F:Campfire.esm","1","2","CraftingPlayer"
"Misc_IronCookingPot_RecipeDisabled","Iron Cooking Pot","1","1","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"Misc_FurLargeTent_Recipe","Fur Large Tent","1","4","CraftingPlayer"
"Misc_FurLargeTentTwoBedrolls_Recipe","Fur Large Tent (Two Bedrolls)","1","2","CraftingPlayer"
"Misc_FurLargeTentThreeBedrolls_Recipe","Fur Large Tent (Three Bedrolls)","1","2","CraftingPlayer"
"Misc_FurLargeTentFourBedrolls_Recipe","Fur Large Tent (Four Bedrolls)","1","2","CraftingPlayer"
"Misc_FurLargeTentFourBedrolls_RecipeRevert","Fur Large Tent (Three Bedrolls)","1","1","CraftingPlayer"
"Misc_FurLargeTentThreeBedrolls_RecipeRevert","Fur Large Tent (Two Bedrolls)","1","1","CraftingPlayer"
"Misc_FurLargeTentTwoBedrolls_RecipeRevert","Fur Large Tent","1","1","CraftingPlayer"
"Misc_Kindling_RecipeDeadwood","Kindling","2","1","CraftingPlayer"
