"EditorID","OutputName","OutputQty","IngredientCount","WorkbenchKeyword"
"Weap_AncientNordicHeroBattleaxe_Temper","Ancient Nordic Hero Battleaxe","1","1","088108:Skyrim.esm"
"Weap_AncientNordicHeroHeavyBow_Temper","Ancient Nordic Hero Heavy Bow","1","2","088108:Skyrim.esm"
"Weap_AncientNordicHeroGreatsword_Temper","Ancient Nordic Hero Greatsword","1","1","088108:Skyrim.esm"
"Weap_AncientNordicHeroSword_Temper","Ancient Nordic Hero Sword","1","1","088108:Skyrim.esm"
"Weap_AncientNordicHeroWarAxe_Temper","Ancient Nordic Hero War Axe","1","1","088108:Skyrim.esm"
"Weap_SkyforgeSteelBattleaxe_Temper","Skyforge Steel Battleaxe","1","1","088108:Skyrim.esm"
"Weap_SkyforgeSteelGreatsword_Temper","Skyforge Steel Greatsword","1","1","088108:Skyrim.esm"
"Weap_SkyforgeSteelSword_Temper","Skyforge Steel Sword","1","1","088108:Skyrim.esm"
"Weap_SkyforgeSteelWarAxe_Temper","Skyforge Steel War Axe","1","1","088108:Skyrim.esm"
"Weap_AkaviriKatana_Temper","Akaviri Katana","1","1","088108:Skyrim.esm"
"Weap_IronWarAxe_Temper","Iron War Axe","1","1","088108:Skyrim.esm"
"Weap_SteelGreatsword_Recipe","Steel Greatsword","1","2","CraftingForge"
"Weap_IronSword_Temper","Iron Sword","1","1","088108:Skyrim.esm"
"Weap_IronBattleaxe_Temper","Iron Battleaxe","1","1","088108:Skyrim.esm"
"Weap_IronDagger_Temper","Iron Dagger","1","1","088108:Skyrim.esm"
"Weap_IronGreatsword_Temper","Iron Greatsword","1","1","088108:Skyrim.esm"
"Weap_IronMace_Temper","Iron Mace","1","1","088108:Skyrim.esm"
"Weap_IronSword_Recipe","Iron Sword","1","2","CraftingForge"
"Weap_IronDagger_Recipe","Iron Dagger","1","2","CraftingForge"
"Weap_IronMace_Recipe","Iron Mace","1","3","CraftingForge"
"Weap_IronWarAxe_Recipe","Iron War Axe","1","3","CraftingForge"
"Weap_IronWarhammer_Recipe","Iron Warhammer","1","3","CraftingForge"
"Weap_IronBattleaxe_Recipe","Iron Battleaxe","1","3","CraftingForge"
"Weap_IronGreatsword_Recipe","Iron Greatsword","1","2","CraftingForge"
"Weap_SteelSword_Recipe","Steel Sword","1","2","CraftingForge"
"Weap_SteelMace_Recipe","Steel Mace","1","3","CraftingForge"
"Weap_SteelWarAxe_Recipe","Steel War Axe","1","3","CraftingForge"
"Weap_SteelBattleaxe_Recipe","Steel Battleaxe","1","3","CraftingForge"
"Weap_OrcishBattleaxe_Recipe","Orcish Battleaxe","1","3","CraftingForge"
"Weap_OrcishGreatsword_Recipe","Orcish Greatsword","1","3","CraftingForge"
"Weap_SteelDagger_Recipe","Steel Dagger","1","2","CraftingForge"
"Weap_OrcishDagger_Recipe","Orcish Dagger","1","3","CraftingForge"
"Weap_OrcishMace_Recipe","Orcish Mace","1","3","CraftingForge"
"Weap_SteelWarhammer_Recipe","Steel Warhammer","1","3","CraftingForge"
"Weap_OrcishSword_Recipe","Orcish Sword","1","3","CraftingForge"
"Weap_OrcishWarAxe_Recipe","Orcish War Axe","1","3","CraftingForge"
"Weap_OrcishWarhammer_Recipe","Orcish Warhammer","1","3","CraftingForge"
"Weap_DwarvenBattleaxe_Recipe","Dwarven Battleaxe","1","3","CraftingForge"
"Weap_DwarvenDagger_Recipe","Dwarven Dagger","1","3","CraftingForge"
"Weap_DwarvenGreatsword_Recipe","Dwarven Greatsword","1","3","CraftingForge"
"Weap_DwarvenMace_Recipe","Dwarven Mace","1","3","CraftingForge"
"Weap_DwarvenSword_Recipe","Dwarven Sword","1","3","CraftingForge"
"Weap_DwarvenWarAxe_Recipe","Dwarven War Axe","1","3","CraftingForge"
"Weap_DwarvenWarhammer_Recipe","Dwarven Warhammer","1","3","CraftingForge"
"Weap_ElvenBattleaxe_Recipe","Elven Battleaxe","1","3","CraftingForge"
"Weap_ElvenDagger_Recipe","Elven Dagger","1","3","CraftingForge"
"Weap_ElvenGreatsword_Recipe","Elven Greatsword","1","3","CraftingForge"
"Weap_ElvenMace_Recipe","Elven Mace","1","3","CraftingForge"
"Weap_ElvenSword_Recipe","Elven Sword","1","3","CraftingForge"
"Weap_ElvenWarAxe_Recipe","Elven War Axe","1","3","CraftingForge"
"Weap_ElvenWarhammer_Recipe","Elven Warhammer","1","3","CraftingForge"
"Weap_GlassBattleaxe_Recipe","Glass Battleaxe","1","3","CraftingForge"
"Weap_GlassDagger_Recipe","Glass Dagger","1","3","CraftingForge"
"Weap_GlassGreatsword_Recipe","Glass Greatsword","1","3","CraftingForge"
"Weap_GlassMace_Recipe","Glass Mace","1","3","CraftingForge"
