"EditorID","OutputName","OutputQty","IngredientCount","WorkbenchKeyword"
"Armor_ElvenLightBoots_Temper","105F11:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_ElvenLightCuirass_Temper","105F12:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_ElvenLightGauntlets_Temper","105F13:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_ElvenLightHelmet_Temper","105F14:Skyrim.esm","1","1","CraftingArmorTable"
"Weap_AncientNordicHeroBattleaxe_Temper","Ancient Nordic Hero Battleaxe","1","1","088108:Skyrim.esm"
"Weap_AncientNordicHeroHeavyBow_Temper","Ancient Nordic Hero Heavy Bow","1","2","088108:Skyrim.esm"
"Weap_AncientNordicHeroGreatsword_Temper","Ancient Nordic Hero Greatsword","1","1","088108:Skyrim.esm"
"Weap_AncientNordicHeroSword_Temper","Ancient Nordic Hero Sword","1","1","088108:Skyrim.esm"
"Weap_AncientNordicHeroWarAxe_Temper","Ancient Nordic Hero War Axe","1","1","088108:Skyrim.esm"
"Weap_SkyforgeSteelBattleaxe_Temper","Skyforge Steel Battleaxe","1","1","088108:Skyrim.esm"
"Weap_SkyforgeSteelGreatsword_Temper","Skyforge Steel Greatsword","1","1","088108:Skyrim.esm"
"Weap_SkyforgeSteelSword_Temper","Skyforge Steel Sword","1","1","088108:Skyrim.esm"
"Weap_SkyforgeSteelWarAxe_Temper","Skyforge Steel War Axe","1","1","088108:Skyrim.esm"
"Armor_FalmerBoots_Temper","0B83CD:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_FalmerCuirass_Temper","0B83CB:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_FalmerBracers_Temper","0B83CF:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_FalmerHelmet_Temper","04C3CB:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_FalmerShield_Temper","05C06C:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_AncientNordicBoots_Temper","056A9D:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_AncientNordicCuirass_Temper","018388:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_AncientNordicGauntlets_Temper","056B17:Skyrim.esm","1","1","CraftingArmorTable"
"Armor_AncientNordicHelmet_Temper","056A9E:Skyrim.esm","1","1","CraftingArmorTable"
