"EditorID","Prefix","FormKey","CreatedObject_FormKey","CreatedObjectCount","IngredientCount","IngredientFormKeys"
"Armor_ElvenLightBoots_Temper","Armor","000DD2:Skyrim.esm","105F11:Skyrim.esm","1","1",""
"Armor_ElvenLightCuirass_Temper","Armor","000DD3:Skyrim.esm","105F12:Skyrim.esm","1","1",""
"Armor_ElvenLightGauntlets_Temper","Armor","000DD4:Skyrim.esm","105F13:Skyrim.esm","1","1",""
"Armor_ElvenLightHelmet_Temper","Armor","000DD5:Skyrim.esm","105F14:Skyrim.esm","1","1",""
"Weap_AncientNordicHeroBattleaxe_Temper","Weap","000E49:Skyrim.esm","068C79:Skyrim.esm","1","1",""
"Weap_AncientNordicHeroHeavyBow_Temper","Weap","000E4A:Skyrim.esm","068C57:Skyrim.esm","1","2","|"
"Weap_AncientNordicHeroGreatsword_Temper","Weap","000E4B:Skyrim.esm","0A3115:Skyrim.esm","1","1",""
"Weap_AncientNordicHeroSword_Temper","Weap","000E4C:Skyrim.esm","068C7B:Skyrim.esm","1","1",""
"Weap_AncientNordicHeroWarAxe_Temper","Weap","000E4D:Skyrim.esm","068C63:Skyrim.esm","1","1",""
"Weap_SkyforgeSteelBattleaxe_Temper","Weap","000F5E:Skyrim.esm","09F25F:Skyrim.esm","1","1",""
"Weap_SkyforgeSteelGreatsword_Temper","Weap","000F5F:Skyrim.esm","09F25E:Skyrim.esm","1","1",""
"Weap_SkyforgeSteelSword_Temper","Weap","000F60:Skyrim.esm","09F25C:Skyrim.esm","1","1",""
"Weap_SkyforgeSteelWarAxe_Temper","Weap","000F61:Skyrim.esm","09F260:Skyrim.esm","1","1",""
"Armor_FalmerBoots_Temper","Armor","0172E7:Skyrim.esm","0B83CD:Skyrim.esm","1","1",""
"Armor_FalmerCuirass_Temper","Armor","01730E:Skyrim.esm","0B83CB:Skyrim.esm","1","1",""
"Armor_FalmerBracers_Temper","Armor","01730F:Skyrim.esm","0B83CF:Skyrim.esm","1","1",""
"Armor_FalmerHelmet_Temper","Armor","017319:Skyrim.esm","04C3CB:Skyrim.esm","1","1",""
"Armor_FalmerShield_Temper","Armor","01731A:Skyrim.esm","05C06C:Skyrim.esm","1","1",""
"Armor_AncientNordicBoots_Temper","Armor","01731B:Skyrim.esm","056A9D:Skyrim.esm","1","1",""
"Armor_AncientNordicCuirass_Temper","Armor","01731C:Skyrim.esm","018388:Skyrim.esm","1","1",""
"Armor_AncientNordicGauntlets_Temper","Armor","01731D:Skyrim.esm","056B17:Skyrim.esm","1","1",""
"Armor_AncientNordicHelmet_Temper","Armor","01731E:Skyrim.esm","056A9E:Skyrim.esm","1","1",""
"Weap_AkaviriKatana_Temper","Weap","0173BB:Skyrim.esm","03AEB9:Skyrim.esm","1","1",""
"Misc_PeltGoat_ProcessLeather","Misc","07866B:Skyrim.esm","0DB5D2:Skyrim.esm","1","1",""
"Misc_PeltCow_ProcessLeather","Misc","078B48:Skyrim.esm","0DB5D2:Skyrim.esm","3","1",""
