"EditorID","OutputName","OutputQty","IngredientCount","WorkbenchKeyword"
"Alch_SoapBlueMountainFlower_Recipe","Soap - Blue Mountain","3","3","0A5CB3:Skyrim.esm"
"Alch_SoapDragonsTongue_Recipe","Soap - Dragon's Tongue","3","3","0A5CB3:Skyrim.esm"
"Alch_SoapLavender_Recipe","Soap - Lavender","3","3","0A5CB3:Skyrim.esm"
"Alch_SoapPlain_Recipe","Soap - Plain","3","2","0A5CB3:Skyrim.esm"
"Alch_SoapPurpleMountainFlower_Recipe","Soap - Purple Mountain Flower","3","3","0A5CB3:Skyrim.esm"
"Alch_SoapRedMountainFlower_Recipe","Soap - Red Mountain Flower","3","3","0A5CB3:Skyrim.esm"
"Alch_SoapSuperiorMountainFlower_Recipe","Soap - Superior Mountain Flower","3","5","0A5CB3:Skyrim.esm"
"Alch_StrangeBrew_RecipeMead","Strange Brew","1","3","0A5CB3:Skyrim.esm"
"Alch_BloodOfTheHunt_Recipe","Blood of the Hunt (Strange Brew)","1","5","0A5CB3:Skyrim.esm"
"Alch_PotionOfHircinesAgony_Recipe","Potion of Hircine's Agony (Strange Brew)","2","3","0A5CB3:Skyrim.esm"
"Alch_PotionOfHircinesCloak_Recipe","Potion of Hircine's Cloak (Strange Brew)","2","2","0A5CB3:Skyrim.esm"
"Alch_FlareCoating_Recipe","Flare Coating","1","1","0A5CB3:Skyrim.esm"
"Alch_SpiderVenomGood_Recipe","Spider Venom (Good)","1","1","0A5CB3:Skyrim.esm"
"Alch_SpiderVenomGreat_Recipe","Spider Venom (Great)","1","2","0A5CB3:Skyrim.esm"
"Alch_SpiderVenomSuperlative_Recipe","Spider Venom (Superlative)","1","2","0A5CB3:Skyrim.esm"
"Alch_ChaurusVenomGood_Recipe","Chaurus Venom (Good)","1","1","0A5CB3:Skyrim.esm"
"Alch_ChaurusVenomGreat_Recipe","Chaurus Venom (Great)","1","3","0A5CB3:Skyrim.esm"
"Alch_ChaurusVenomSuperlative_Recipe","Chaurus Venom (Superlative)","1","2","0A5CB3:Skyrim.esm"
"Alch_TrollsBloodPotion01_Recipe","Troll's Blood Potion (Crude)","2","2","0A5CB3:Skyrim.esm"
"Alch_TrollsBloodPotion02_Recipe","Troll's Blood Potion (Decent)","2","2","0A5CB3:Skyrim.esm"
"Alch_TrollsBloodPotion03_Recipe","Troll's Blood Potion (Good)","2","2","0A5CB3:Skyrim.esm"
"Alch_TrollsBloodPotion04_Recipe","Troll's Blood Potion (Great)","2","2","0A5CB3:Skyrim.esm"
"Alch_TrollsBloodPotion05_Recipe","Troll's Blood Potion (Remarkable)","2","2","0A5CB3:Skyrim.esm"
"Alch_TrollsBloodPoison01_Recipe","Troll's Blood Poison (Crude)","2","2","0A5CB3:Skyrim.esm"
"Alch_TrollsBloodPoison02_Recipe","Troll's Blood Poison (Decent)","2","2","0A5CB3:Skyrim.esm"
"Alch_TrollsBloodPoison03_Recipe","Troll's Blood Poison (Good)","2","2","0A5CB3:Skyrim.esm"
"Alch_TrollsBloodPoison04_Recipe","Troll's Blood Poison (Great)","2","2","0A5CB3:Skyrim.esm"
"Alch_TrollsBloodPoison05_Recipe","Troll's Blood Poison (Remarkable)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerewolfsBloodPotion01_Recipe","Werewolf's Blood Potion (Decent)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerewolfsBloodPotion02_Recipe","Werewolf's Blood Potion (Good)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerewolfsBloodPotion03_Recipe","Werewolf's Blood Potion (Great)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerewolfsBloodPotion04_Recipe","Werewolf's Blood Potion (Remarkable)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerewolfsBloodPoison01_Recipe","Werewolf's Blood Poison (Crude)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerewolfsBloodPoison02_Recipe","Werewolf's Blood Poison (Decent)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerewolfsBloodPoison03_Recipe","Werewolf's Blood Poison (Good)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerewolfsBloodPoison04_Recipe","Werewolf's Blood Poison (Great)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerewolfsBloodPoison05_Recipe","Werewolf's Blood Poison (Remarkable)","2","2","0A5CB3:Skyrim.esm"
"Alch_DragonsElixirOfTheShade_Recipe","Dragon's Elixir of the Shade","2","1","0A5CB3:Skyrim.esm"
"Alch_DragonsElixirOfTheLivingCircle_Recipe","Dragon's Elixir of the Living Circle","2","1","0A5CB3:Skyrim.esm"
"Alch_DragonsElixirOfTheUnseen_Recipe","Dragon's Elixir of the Unseen","2","1","0A5CB3:Skyrim.esm"
"Alch_DragonsVenomOfDisarming_Recipe","Dragon's Venom of Disarming","2","1","0A5CB3:Skyrim.esm"
"Alch_DragonsElixirOfDismay_Recipe","Poison of Fear (Remarkable)","2","1","0A5CB3:Skyrim.esm"
"Alch_DragonsElixirOfFuriousSpeed_Recipe","Dragon's Elixir of Furious Speed","2","1","0A5CB3:Skyrim.esm"
"Alch_DragonsElixirOfFirebloom_Recipe","Dragon's Elixir of Firebloom","2","1","0A5CB3:Skyrim.esm"
"Alch_DragonsVenomOfTorpor_Recipe","Dragon's Venom of Torpor","2","1","0A5CB3:Skyrim.esm"
"Alch_DragonsVenomOfTerribleFrost_Recipe","Dragon's Venom of Terrible Frost","2","1","0A5CB3:Skyrim.esm"
"Alch_DragonsElixirOfKynesPeace_Recipe","Dragon's Elixir of Kyne's Peace","2","1","0A5CB3:Skyrim.esm"
"Alch_DragonsVenomOfDeath_Recipe","Dragon's Venom of Death","2","1","0A5CB3:Skyrim.esm"
"Alch_DragonsElixirOfSlowedTime_Recipe","Dragon's Elixir of Slowed Time","2","1","0A5CB3:Skyrim.esm"
"Alch_DragonsElixirOfTheBoilingStorm_Recipe","Dragon's Elixir of the Storm","2","1","0A5CB3:Skyrim.esm"
"Alch_DragonsElixirOfGhostlyPassage_Recipe","Dragon's Elixir of Ghostly Passage","2","1","0A5CB3:Skyrim.esm"
"Alch_DragonsVenomOfExplosiveForce_Recipe","Dragon's Venom of Explosive Force","2","1","0A5CB3:Skyrim.esm"
"Alch_DragonsElixirOfSwiftness_Recipe","Dragon's Elixir of Swiftness","2","1","0A5CB3:Skyrim.esm"
"Alch_PotionOfArcaneMetabolisis_Recipe","Potion of Arcane Metabolisis","2","2","0A5CB3:Skyrim.esm"
"Alch_StrangeBrew_RecipeSap","Strange Brew","3","3","0A5CB3:Skyrim.esm"
"Alch_PotionOfBoneblood_Recipe","Potion of Boneblood","1","2","0A5CB3:Skyrim.esm"
"Alch_MildAcid_RecipeExplainer","Mild Acid","1","1","0A5CB3:Skyrim.esm"
"Alch_MildAcid_RecipeChaurusVenomCrude","Mild Acid","1","1","0A5CB3:Skyrim.esm"
"Alch_MildAcid_RecipeSpiderVenomCrude","Mild Acid","1","1","0A5CB3:Skyrim.esm"
"Alch_MildAcid_RecipeSpiderEgg","Mild Acid","1","1","0A5CB3:Skyrim.esm"
"Alch_StrongAcid_RecipeExplainer","Strong Acid","1","1","0A5CB3:Skyrim.esm"
"Alch_StrongAcid_RecipeChaurusVenomGood","Strong Acid","1","1","0A5CB3:Skyrim.esm"
"Alch_StrongAcid_RecipeSpiderVenomGreat","Strong Acid","1","1","0A5CB3:Skyrim.esm"
"Alch_StrongAcid_RecipeChaurusEggs","Strong Acid","1","1","0A5CB3:Skyrim.esm"
"Alch_WerebearsBloodPotion01_Recipe","Werebear's Blood Potion (Decent)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerebearsBloodPotion02_Recipe","Werebear's Blood Potion (Good)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerebearsBloodPotion03_Recipe","Werebear's Blood Potion (Great)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerebearsBloodPotion04_Recipe","Werebear's Blood Potion (Remarkable)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerebearsBloodPoison01_Recipe","Werebear's Blood Poison (Crude)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerebearsBloodPoison02_Recipe","Werebear's Blood Poison (Decent)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerebearsBloodPoison03_Recipe","Werebear's Blood Poison (Good)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerebearsBloodPoison04_Recipe","Werebear's Blood Poison (Great)","2","2","0A5CB3:Skyrim.esm"
"Alch_WerebearsBloodPoison05_Recipe","Werebear's Blood Poison (Remarkable)","2","2","0A5CB3:Skyrim.esm"
"Alch_SnowberryExtract_Recipe","Snowberry Extract","1","1","0A5CB3:Skyrim.esm"
"Alch_HealingPoultice_Recipe","Healing Poultice","1","2","CraftingPlayer"
"Alch_MedicinalSalve_RecipeExplainer","Medicinal Salve","1","1","CraftingPlayer"
"Alch_MedicinalSalve_RecipeNorthernFlax","Medicinal Salve","1","1","CraftingPlayer"
"Alch_MedicinalSalve_RecipeRockWarblerEgg","Medicinal Salve","1","1","CraftingPlayer"
"Alch_MedicinalSalve_RecipeCharredSkeeverHide","Medicinal Salve","1","1","CraftingPlayer"
"Alch_MedicinalSalve_RecipeDaedraHeart","Medicinal Salve","30","1","CraftingPlayer"
"Alch_MedicinalSalve_RecipeBlueDartwing","Medicinal Salve","1","1","CraftingPlayer"
"Alch_MedicinalSalve_RecipeMonarchWing","Medicinal Salve","1","1","CraftingPlayer"
"Alch_MedicinalSalve_RecipeBlueMountainFlower","Medicinal Salve","1","1","CraftingPlayer"
"Alch_MedicinalSalve_RecipeImpStool","Medicinal Salve","1","1","CraftingPlayer"
"Alch_MedicinalSalve_RecipeBlisterwort","Medicinal Salve","1","1","CraftingPlayer"
"Alch_MedicinalSalve_RecipeSabreCatEye","Medicinal Salve","1","1","CraftingPlayer"
"Alch_MedicinalSalve_RecipeSwampFungalPod","Medicinal Salve","1","1","CraftingPlayer"
"Alch_MedicinalSalve_RecipeWheat","Medicinal Salve","1","1","CraftingPlayer"
"Alch_MedicinalSalve_RecipeCuredSkeeverHide","Medicinal Salve","1","1","CraftingPlayer"
"Alch_MedicinalSalve_RecipePanacea","Medicinal Salve","1","1","CraftingPlayer"
"Alch_PowderedChitin_Recipe","Powdered Chaurus Chitin","5","1","CraftingPlayer"
"Alch_PowderedSpiderPod_Recipe","Powdered Albino Spider Pod","5","1","CraftingPlayer"
