"EditorID","OutputName","OutputQty","IngredientCount","WorkbenchKeyword"
"Ammo_BoltSteelFire_Recipe","00F1A0:Dawnguard.esm","15","2","CraftingForge"
"Ammo_BoltSteelFrost_Recipe","00F1BB:Dawnguard.esm","15","2","CraftingForge"
"Ammo_BoltSteelShock_Recipe","00F1BC:Dawnguard.esm","15","2","CraftingForge"
"Ammo_BoltDwarvenFireburst_Recipe","00F1B1:Dawnguard.esm","15","2","CraftingForge"
"Ammo_BoltDwarvenIceburst_Recipe","00F1B7:Dawnguard.esm","15","2","CraftingForge"
"Ammo_BoltDwarvenThunderburst_Recipe","00F1B9:Dawnguard.esm","15","2","CraftingForge"
"Ammo_BoltSteel_Recipe","000BB3:Dawnguard.esm","15","2","CraftingForge"
"Ammo_BoltDwarven_Recipe","00D099:Dawnguard.esm","15","2","CraftingForge"
"Ammo_ArrowNordic_Recipe","02623B:Dragonborn.esm","15","2","CraftingForge"
"Ammo_ArrowStalhrim_RecipeEbony","026239:Dragonborn.esm","15","2","CraftingForge"
"Ammo_ArrowAncientNordicHero_Recipe","0EAFDF:Skyrim.esm","15","3","CraftingForge"
"Ammo_ArrowStoneCrude_RecipeWood","0415D7:Campfire.esm","5","2","CraftingPlayer"
"Ammo_ArrowBoneCrude_RecipeWood","006954:Hunterborn.esp","5","2","CraftingPlayer"
"Ammo_ArrowBoneCrude_RecipeBone","006954:Hunterborn.esp","5","2","CraftingPlayer"
"Ammo_ArrowBoneGood_RecipeWood","03C1CB:Hunterborn.esp","5","2","CraftingPlayer"
"Ammo_ArrowBoneGood_RecipeBone","03C1CB:Hunterborn.esp","5","2","CraftingPlayer"
"Ammo_ArrowBoneDecent_RecipeWood","03C1CA:Hunterborn.esp","5","2","CraftingPlayer"
"Ammo_ArrowBoneDecent_RecipeBone","03C1CA:Hunterborn.esp","5","2","CraftingPlayer"
"Ammo_ArrowBoneSuperlative_RecipeWood","03C1CD:Hunterborn.esp","5","2","CraftingPlayer"
"Ammo_ArrowBoneSuperlative_RecipeBone","03C1CD:Hunterborn.esp","5","2","CraftingPlayer"
"Ammo_ArrowBoneGreat_RecipeWood","03C1CC:Hunterborn.esp","5","2","CraftingPlayer"
"Ammo_ArrowBoneGreat_RecipeBone","03C1CC:Hunterborn.esp","5","2","CraftingPlayer"
"Ammo_BoltDawnguard_Recipe","020B04:Faction Crossbows.esp","15","2","CraftingForge"
"Ammo_BoltDawnguardFire_Recipe","020B05:Faction Crossbows.esp","15","2","CraftingForge"
"Ammo_BoltDawnguardFrost_Recipe","020B06:Faction Crossbows.esp","15","2","CraftingForge"
"Ammo_BoltDawnguardShock_Recipe","020B07:Faction Crossbows.esp","15","2","CraftingForge"
"Ammo_BoltAncientNordicHero_Recipe","025A50:Faction Crossbows.esp","15","2","CraftingForge"
"Ammo_BoltAncientNordicHeroFire_Recipe","025A51:Faction Crossbows.esp","15","2","CraftingForge"
"Ammo_BoltAncientNordicHeroFrost_Recipe","025A52:Faction Crossbows.esp","15","2","CraftingForge"
"Ammo_BoltAncientNordicHeroShock_Recipe","025A53:Faction Crossbows.esp","15","2","CraftingForge"
"Ammo_BoltDarkBrotherhood_Recipe","025A58:Faction Crossbows.esp","15","2","CraftingForge"
"Ammo_BoltDarkBrotherhoodFire_Recipe","025A59:Faction Crossbows.esp","15","2","CraftingForge"
"Ammo_BoltDarkBrotherhoodFrost_Recipe","025A5A:Faction Crossbows.esp","15","2","CraftingForge"
"Ammo_BoltDarkBrotherhoodShock_Recipe","025A5B:Faction Crossbows.esp","25","2","CraftingForge"
"Ammo_BoltThievesGuild_Recipe","025A60:Faction Crossbows.esp","15","2","CraftingForge"
"Ammo_BoltThievesGuildFire_Recipe","025A61:Faction Crossbows.esp","15","2","CraftingForge"
