"EditorID","OutputName","OutputQty","IngredientCount","WorkbenchKeyword"
"RecipeArrowGlass_CCO_Disabled","0139BE:Skyrim.esm","24","2","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"DLC2RecipeArmorNordicHeavyCuirassSleevelessBrown_AMB_Disabled","36B15A:aMidianBorn_ContentAddon.esp","1","5","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"RecipeFoodGoatCheeseWheel02_Disabled","Goat Cheese Wheel","1","1","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"RecipeArmorBanditGauntletsHide02_CCO_Disabled","06F39B:Skyrim.esm","1","2","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"RecipeArmorChainmailHoodFurLined_CCF_DisabledTemp","194ED8:WACCF_Armor and Clothing Extension.esp","1","4","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"RecipeIngotDwarvenScrap501_CCO_Disabled","Ingot: Dwarven","1","3","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"RecipeJewelryCircletFurGrey_CCO_Disabled","0008DC:Complete Crafting Overhaul_Remastered.esp","1","2","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"RecipeArrowDaedric_CCO_Disabled","0139C0:Skyrim.esm","24","3","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"RecipeWeaponIronWarAxeSimple_CCO_Disabled","Iron War Axe","1","2","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"RecipeMiscWoodcuttersAxeMisc_CCO_Disabled","Iron Woodcutter's Axe","1","2","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"RecipeIngotDwarvenScrap401_CCO_Disabled","Ingot: Dwarven","1","2","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"RecipeArmorBanditCuirassHide02_CCO_Disabled","06F393:Skyrim.esm","1","3","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"cuyPriestHoodMiraakTemperL3","017E88:CuyiPriestHoods.esp","1","1","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"DLC2RecipeArmorNordicHeavyCuirassSleevelessWhite_AMB_Disabled","36B15B:aMidianBorn_ContentAddon.esp","1","5","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"RecipeClothesExecutionersHood_Disabled","0008E2:ClothingCraft.esp","1","1","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"RecipeClothesThalmorRobesHooded_Disabled","000868:ClothingCraft.esp","1","1","02BEA9:Complete Crafting Overhaul_Remastered.esp"
"EnchClothesMonkRobesBlueMagickaRate01_Breakdown","0A199B:Skyrim.esm","1","1","CraftingBreakdown"
