"EditorID","OutputName","OutputQty","IngredientCount","WorkbenchKeyword"
"EnchClothesMonkRobesBlueMagickaRate01_Breakdown","0A199B:Skyrim.esm","1","1","CraftingBreakdown"
"EnchClothesRobesMageRegen01_Breakdown","Cotton Cloth - Blue","1","1","CraftingBreakdown"
"EnchClothesRobesMageHoodApprentice_Breakdown","Cotton Cloth - Black","1","1","CraftingBreakdown"
"EnchClothesRobesMageHoodNovice_Breakdown","Cotton Cloth - Tan","1","1","CraftingBreakdown"
"ArmorChild_ChildsLinenChoes_Breakdown","Linen Cloth - Brown","1","1","CraftingBreakdown"
"ArmorChild_ChildsSkaalShoes_Breakdown","Linen Cloth - Brown","1","1","CraftingBreakdown"
"AlchDrink_Ale_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_AshfireMead_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_BlackBriarReserve_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_CinnabarBeer_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_CliffRacer_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_DragonsBreathMead_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_HonningbrewMead_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_JuniperBerryMead_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_NordMead_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_WhiteGoldTower_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_AltoBlancWine_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_AltoNoirWine_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_ArgonianAle_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_ArgonianBloodwine_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_BlackBriarMead_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_BottledMilk_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_BottledWater_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_ColovianBrandy_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_CyrodilicBrandy_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_EmberbrandWine_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_FirebrandWine_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_Flin_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_JessicasWine_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_Mazte_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_MulledWine_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_SadrisSujamma_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
"AlchDrink_Shein_Empty","Glass Bottle (Empty)","1","1","CraftingBreakdown"
